,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier
4307,-122.962,37.73,37.73,42.723,-122.962,-99.354,2000CA-Bmu-23029
4308,-123.375,37.446,37.446,45.211,-123.375,-164.198,2000CA-Bmu-23029
4309,-122.65,37.149,37.149,43.012,-122.65,-93.734,2000CA-Bmu-23029
4310,-123.494,37.72,37.72,36.561,-123.494,-117.798,2000CA-Bmu-23029
4311,-123.094,37.329,37.329,30.18,-123.094,-159.247,2000CA-Bmu-23029
4312,-123.168,37.767,37.767,37.004,-123.168,-119.555,2000CA-Bmu-23029
4313,-124.115,37.847,37.847,34.259,-124.115,-106.602,2000CA-Bmu-23029
4314,-122.974,37.788,37.788,39.573,-122.974,-113.952,2000CA-Bmu-23029
4315,-122.882,37.506,37.506,35.687,-122.882,-114.413,2000CA-Bmu-23029
4316,-122.61,37.524,37.524,41.305,-122.61,-103.385,2000CA-Bmu-23029
4317,-125.247,37.076,37.076,38.753,-125.247,-116.937,2000CA-Bmu-23029
4318,-122.92000000000002,37.529,37.529,39.484,-122.92,-113.454,2000CA-Bmu-23029
4319,-122.65,37.172,37.172,35.145,-122.65,-112.768,2000CA-Bmu-23029
4320,-122.43099999999998,37.144,37.144,30.434,-122.431,-88.92,2000CA-Bmu-23029
4321,-123.32,36.916,36.916,40.037,-123.32,-107.27,2000CA-Bmu-23029
4322,-122.66899999999998,37.164,37.164,42.62,-122.669,-96.438,2000CA-Bmu-23029
4323,-122.829,37.412,37.412,36.271,-122.829,-117.131,2000CA-Bmu-23029
4324,-122.817,37.416,37.416,36.189,-122.817,-117.03,2000CA-Bmu-23029
4325,-122.947,37.409,37.409,39.481,-122.947,-112.452,2000CA-Bmu-23029
4326,-122.531,37.259,37.259,40.984,-122.531,-102.411,2000CA-Bmu-23029
4327,-123.238,37.378,37.378,32.49,-123.238,-99.836,2000CA-Bmu-23029
4328,-122.93099999999998,37.487,37.487,40.169,-122.931,-110.242,2000CA-Bmu-23029
4329,-122.88299999999998,37.4,37.4,29.495,-122.883,-161.041,2000CA-Bmu-23029
4330,-122.743,37.373,37.373,31.365,-122.743,-94.507,2000CA-Bmu-23029
4331,-122.857,37.375,37.375,35.059,-122.857,-111.137,2000CA-Bmu-23029
4332,-122.862,37.433,37.433,38.549,-122.862,-117.167,2000CA-Bmu-23029
4333,-122.85399999999998,37.543,37.543,32.931,-122.854,-100.296,2000CA-Bmu-23029
4334,-123.26,37.268,37.268,43.466,-123.26,-91.389,2000CA-Bmu-23029
4335,-123.14499999999998,36.888,36.888,43.123,-123.145,-92.804,2000CA-Bmu-23029
4336,-123.77100000000002,36.716,36.716,42.345,-123.771,-94.712,2000CA-Bmu-23029
4337,-125.304,36.785,36.785,34.143,-125.304,-113.469,2000CA-Bmu-23029
4338,-124.95,36.369,36.369,32.604,-124.95,-107.18,2000CA-Bmu-23029
4339,-126.969,34.014,34.014,39.142,-126.969,-101.837,2000CA-Bmu-23029
4340,-126.031,33.815,33.815,36.866,-126.031,-110.882,2000CA-Bmu-23029
4341,-126.445,34.342,34.342,28.415,-126.445,-97.43,2000CA-Bmu-23029
4342,-131.302,36.787,36.787,42.555,-131.302,-101.811,2000CA-Bmu-23029
4343,-140.277,42.253,42.253,40.875,-140.277,-147.407,2000CA-Bmu-23029
4344,-142.236,42.972,42.972,48.444,-142.236,-170.623,2000CA-Bmu-23029
4345,-143.681,43.387,43.387,49.645,-143.681,-175.232,2000CA-Bmu-23029
4346,-144.736,43.678,43.678,40.766,-144.736,-159.495,2000CA-Bmu-23029
4347,-147.296,43.992,43.992,46.605,-147.296,-160.282,2000CA-Bmu-23029
4348,-150.016,44.298,44.298,41.362,-150.016,-162.852,2000CA-Bmu-23029
4349,-151.57,41.192,41.192,43.44,-151.57,-162.807,2000CA-Bmu-23029
4350,-151.57,41.097,41.097,44.058,-151.57,-166.488,2000CA-Bmu-23029
4351,-151.005,39.117,39.117,39.762,-151.005,-154.57,2000CA-Bmu-23029
4352,-150.706,39.125,39.125,40.536,-150.706,-157.609,2000CA-Bmu-23029
4353,-150.479,38.402,38.402,35.134,-150.479,-166.918,2000CA-Bmu-23029
4354,-149.446,36.928,36.928,36.309,-149.446,-146.522,2000CA-Bmu-23029
4355,-148.566,36.422,36.422,34.609,-148.566,-157.6,2000CA-Bmu-23029
4356,-148.46,36.313,36.313,34.144,-148.46,-158.928,2000CA-Bmu-23029
4357,-146.626,35.458,35.458,35.316,-146.626,-145.839,2000CA-Bmu-23029
4358,-147.892,35.729,35.729,34.728,-147.892,-152.844,2000CA-Bmu-23029
4359,-147.891,35.68,35.68,34.541,-147.891,-153.234,2000CA-Bmu-23029
4360,-145.397,34.14,34.14,36.115,-145.397,-155.749,2000CA-Bmu-23029
4361,-143.883,33.658,33.658,30.588,-143.883,-159.158,2000CA-Bmu-23029
4362,-143.215,32.647,32.647,31.626,-143.215,-148.338,2000CA-Bmu-23029
