,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier
12302,-120.08499999999998,34.121,34.121,31.789,-120.085,-131.126,2007CA-Bmu-10838
12303,-120.114,34.106,34.106,34.809,-120.114,-116.611,2007CA-Bmu-10838
12304,-119.68200000000002,34.086,34.086,33.631,-119.682,-118.421,2007CA-Bmu-10838
12305,-120.15,34.119,34.119,30.733,-120.15,-103.203,2007CA-Bmu-10838
12306,-120.123,34.112,34.112,38.202,-120.123,-140.725,2007CA-Bmu-10838
12307,-120.21800000000002,34.062,34.062,36.472,-120.218,-109.119,2007CA-Bmu-10838
12308,-120.051,34.118,34.118,31.462,-120.051,-108.288,2007CA-Bmu-10838
12309,-123.523,35.06,35.06,33.807,-123.523,-117.002,2007CA-Bmu-10838
12310,-120.46800000000002,34.238,34.238,31.685,-120.468,-105.163,2007CA-Bmu-10838
12311,-120.123,34.118,34.118,35.996,-120.123,-110.918,2007CA-Bmu-10838
12312,-121.017,33.626,33.626,28.762,-121.017,-144.415,2007CA-Bmu-10838
12313,-119.90699999999998,34.15,34.15,38.616,-119.907,-97.997,2007CA-Bmu-10838
12314,-119.875,34.13,34.13,29.558,-119.875,-142.22,2007CA-Bmu-10838
12315,-120.15300000000002,34.097,34.097,35.859,-120.153,-128.926,2007CA-Bmu-10838
12316,-120.168,34.064,34.064,36.646,-120.168,-132.723,2007CA-Bmu-10838
12317,-120.00799999999998,34.089,34.089,30.628,-120.008,-134.489,2007CA-Bmu-10838
12318,-119.97,34.092,34.092,33.626,-119.97,-122.278,2007CA-Bmu-10838
12319,-119.893,34.108,34.108,33.256,-119.893,-124.418,2007CA-Bmu-10838
12320,-119.195,34.038,34.038,34.66,-119.195,-122.413,2007CA-Bmu-10838
12321,-119.23399999999998,34.127,34.127,32.337,-119.234,-111.103,2007CA-Bmu-10838
12322,-120.488,34.204,34.204,38.086,-120.488,-101.752,2007CA-Bmu-10838
12323,-120.372,34.145,34.145,32.057,-120.372,-110.733,2007CA-Bmu-10838
12324,-120.259,34.117,34.117,29.917,-120.259,-100.019,2007CA-Bmu-10838
12325,-120.465,33.741,33.741,31.739,-120.465,-129.886,2007CA-Bmu-10838
12326,-120.55,34.153,34.153,32.823,-120.55,-127.371,2007CA-Bmu-10838
12327,-120.195,33.869,33.869,32.763,-120.195,-114.02,2007CA-Bmu-10838
12328,-120.739,34.146,34.146,35.197,-120.739,-115.853,2007CA-Bmu-10838
12329,-120.461,34.08,34.08,28.364,-120.461,-147.431,2007CA-Bmu-10838
12330,-120.58100000000002,34.154,34.154,37.227,-120.581,-105.521,2007CA-Bmu-10838
12331,-120.471,34.251,34.251,30.083,-120.471,-101.478,2007CA-Bmu-10838
12332,-120.639,34.168,34.168,39.028,-120.639,-145.192,2007CA-Bmu-10838
12333,-120.63,34.163,34.163,30.826,-120.63,-136.088,2007CA-Bmu-10838
12334,-120.58499999999998,34.166,34.166,30.383,-120.585,-138.211,2007CA-Bmu-10838
12335,-120.60899999999998,34.181,34.181,25.787,-120.609,-79.104,2007CA-Bmu-10838
12336,-120.591,34.177,34.177,34.949,-120.591,-124.205,2007CA-Bmu-10838
12337,-120.762,34.359,34.359,35.293,-120.762,-123.847,2007CA-Bmu-10838
12338,-120.627,34.217,34.217,33.619,-120.627,-117.632,2007CA-Bmu-10838
12339,-120.841,34.23,34.23,32.857,-120.841,-125.564,2007CA-Bmu-10838
12340,-120.411,34.145,34.145,34.716,-120.411,-117.694,2007CA-Bmu-10838
12341,-120.388,34.257,34.257,36.489,-120.388,-109.234,2007CA-Bmu-10838
12342,-120.389,34.175,34.175,32.566,-120.389,-113.129,2007CA-Bmu-10838
12343,-120.663,34.204,34.204,39.524,-120.663,-94.52,2007CA-Bmu-10838
12344,-120.245,34.243,34.243,25.991,-120.245,-80.961,2007CA-Bmu-10838
