,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier
13234,-120.007,34.131,34.131,32.581,-120.007,-127.343,2008CA-Bmu-00830
13235,-119.912,34.119,34.119,36.085,-119.912,-129.65,2008CA-Bmu-00830
13236,-120.099,34.139,34.139,33.149,-120.099,-115.443,2008CA-Bmu-00830
13237,-120.393,34.152,34.152,34.967,-120.393,-124.064,2008CA-Bmu-00830
13238,-120.476,34.168,34.168,31.541,-120.476,-109.094,2008CA-Bmu-00830
13239,-120.201,34.12,34.12,33.978,-120.201,-119.495,2008CA-Bmu-00830
13240,-120.437,34.116,34.116,30.291,-120.437,-131.147,2008CA-Bmu-00830
13241,-121.13299999999998,34.297,34.297,33.787,-121.133,-118.652,2008CA-Bmu-00830
13242,-120.39100000000002,34.154,34.154,31.644,-120.391,-107.838,2008CA-Bmu-00830
13243,-120.55,34.048,34.048,36.385,-120.55,-109.672,2008CA-Bmu-00830
13244,-120.55,34.048,34.048,36.385,-120.55,-109.672,2008CA-Bmu-00830
13245,-120.531,34.149,34.149,36.64,-120.531,-132.814,2008CA-Bmu-00830
13246,-120.613,34.098,34.098,35.305,-120.613,-114.795,2008CA-Bmu-00830
13247,-119.947,33.88,33.88,32.363,-119.947,-116.668,2008CA-Bmu-00830
13248,-120.52800000000002,34.04,34.04,37.273,-120.528,-134.228,2008CA-Bmu-00830
13249,-121.293,33.029,33.029,35.677,-121.293,-107.977,2008CA-Bmu-00830
13250,-120.372,32.83,32.83,32.357,-120.372,-123.209,2008CA-Bmu-00830
13251,-119.784,33.581,33.581,31.714,-119.784,-110.839,2008CA-Bmu-00830
13252,-119.765,33.551,33.551,35.805,-119.765,-129.39,2008CA-Bmu-00830
13253,-118.99,33.107,33.107,38.64,-118.99,-143.648,2008CA-Bmu-00830
13254,-118.873,32.979,32.979,34.214,-118.873,-125.004,2008CA-Bmu-00830
13255,-118.892,32.328,32.328,30.078,-118.892,-130.264,2008CA-Bmu-00830
13256,-118.43,32.375,32.375,36.884,-118.43,-140.006,2008CA-Bmu-00830
13257,-118.413,32.333,32.333,32.768,-118.413,-120.415,2008CA-Bmu-00830
13258,-118.346,32.33,32.33,36.37,-118.346,-137.902,2008CA-Bmu-00830
13259,-118.058,32.007,32.007,30.532,-118.058,-124.741,2008CA-Bmu-00830
13260,-117.637,31.834,31.834,35.609,-117.637,-136.086,2008CA-Bmu-00830
13261,-117.743,31.677,31.677,33.153,-117.743,-126.815,2008CA-Bmu-00830
13262,-117.215,31.706,31.706,26.905,-117.215,-139.254,2008CA-Bmu-00830
13263,-117.58100000000002,31.588,31.588,31.203,-117.581,-119.333,2008CA-Bmu-00830
13264,-117.39600000000002,31.601,31.601,29.612,-117.396,-127.25,2008CA-Bmu-00830
13265,-117.072,31.606,31.606,34.715,-117.072,-131.312,2008CA-Bmu-00830
13266,-117.125,31.629,31.629,31.387,-117.125,-116.09,2008CA-Bmu-00830
13267,-116.688,31.33,31.33,33.573,-116.688,-127.192,2008CA-Bmu-00830
13268,-117.001,30.561,30.561,33.837,-117.001,-105.256,2008CA-Bmu-00830
13269,-116.558,30.842,30.842,32.616,-116.558,-108.297,2008CA-Bmu-00830
13270,-116.34,30.644,30.644,28.709,-116.34,-124.972,2008CA-Bmu-00830
13271,-117.779,30.226,30.226,34.103,-117.779,-136.021,2008CA-Bmu-00830
13272,-118.049,30.219,30.219,31.294,-118.049,-112.972,2008CA-Bmu-00830
13273,-118.19400000000002,30.294,30.294,30.695,-118.194,-116.231,2008CA-Bmu-00830
13274,-119.023,30.808,30.808,33.642,-119.023,-104.587,2008CA-Bmu-00830
13275,-118.85899999999998,30.83,30.83,28.123,-118.859,-131.579,2008CA-Bmu-00830
13276,-119.151,31.124,31.124,37.232,-119.151,-147.557,2008CA-Bmu-00830
13277,-119.45,31.534,31.534,30.186,-119.45,-125.658,2008CA-Bmu-00830
13278,-119.413,31.699,31.699,36.704,-119.413,-142.515,2008CA-Bmu-00830
13279,-119.368,31.843,31.843,31.658,-119.368,-120.223,2008CA-Bmu-00830
13280,-120.60500000000002,31.129,31.129,29.617,-120.605,-128.238,2008CA-Bmu-00830
13281,-119.696,31.811,31.811,35.559,-119.696,-137.319,2008CA-Bmu-00830
13282,-119.69299999999998,31.858,31.858,29.9,-119.693,-110.472,2008CA-Bmu-00830
13283,-119.441,31.789,31.789,31.622,-119.441,-118.637,2008CA-Bmu-00830
13284,-119.652,31.924,31.924,33.104,-119.652,-114.601,2008CA-Bmu-00830
13285,-119.616,31.948,31.948,32.259,-119.616,-118.078,2008CA-Bmu-00830
13286,-119.9,32.278,32.278,34.718,-119.9,-131.808,2008CA-Bmu-00830
13287,-119.797,32.394,32.394,28.747,-119.797,-135.815,2008CA-Bmu-00830
13288,-119.776,32.378,32.378,34.964,-119.776,-106.965,2008CA-Bmu-00830
13289,-119.77100000000002,32.371,32.371,34.688,-119.771,-108.902,2008CA-Bmu-00830
13290,-119.899,32.365,32.365,33.804,-119.899,-126.745,2008CA-Bmu-00830
13291,-119.65,32.236,32.236,29.961,-119.65,-131.181,2008CA-Bmu-00830
13292,-119.679,32.288,32.288,35.919,-119.679,-102.96,2008CA-Bmu-00830
13293,-121.72199999999998,32.776,32.776,32.403,-121.722,-119.969,2008CA-Bmu-00830
13294,-119.81,32.37,32.37,34.771,-119.81,-131.703,2008CA-Bmu-00830
13295,-119.904,32.316,32.316,31.132,-119.904,-125.431,2008CA-Bmu-00830
13296,-121.50799999999998,32.191,32.191,32.922,-121.508,-117.255,2008CA-Bmu-00830
13297,-120.378,32.422,32.422,32.553,-120.378,-119.747,2008CA-Bmu-00830
13298,-118.773,31.68,31.68,29.982,-118.773,-109.901,2008CA-Bmu-00830
13299,-119.54000000000002,32.234,32.234,34.548,-119.54,-130.314,2008CA-Bmu-00830
13300,-119.716,32.193,32.193,32.843,-119.716,-116.219,2008CA-Bmu-00830
13301,-119.486,32.299,32.299,34.516,-119.486,-109.563,2008CA-Bmu-00830
13302,-119.248,32.264,32.264,33.216,-119.248,-124.119,2008CA-Bmu-00830
13303,-117.786,33.271,33.271,30.604,-117.786,-130.828,2008CA-Bmu-00830
13304,-118.939,32.409,32.409,35.538,-118.939,-134.677,2008CA-Bmu-00830
13305,-119.026,32.054,32.054,31.195,-119.026,-122.963,2008CA-Bmu-00830
13306,-118.911,31.668,31.668,37.183,-118.911,-146.089,2008CA-Bmu-00830
13307,-119.072,31.553,31.553,30.493,-119.072,-113.176,2008CA-Bmu-00830
13308,-119.447,31.923,31.923,32.635,-119.447,-122.341,2008CA-Bmu-00830
13309,-118.789,31.607,31.607,31.909,-118.789,-117.391,2008CA-Bmu-00830
13310,-118.80700000000002,31.515,31.515,36.274,-118.807,-140.873,2008CA-Bmu-00830
13311,-119.012,31.898,31.898,29.618,-119.012,-107.553,2008CA-Bmu-00830
13312,-118.938,31.544,31.544,30.182,-118.938,-112.266,2008CA-Bmu-00830
13313,-119.195,31.469,31.469,33.101,-119.195,-111.369,2008CA-Bmu-00830
13314,-119.14100000000002,31.643,31.643,33.393,-119.141,-111.86,2008CA-Bmu-00830
13315,-119.297,31.362,31.362,34.517,-119.297,-135.349,2008CA-Bmu-00830
13316,-118.78,31.643,31.643,27.314,-118.78,-139.453,2008CA-Bmu-00830
13317,-119.33499999999998,31.247,31.247,34.28,-119.335,-104.861,2008CA-Bmu-00830
13318,-118.753,31.642,31.642,34.068,-118.753,-130.809,2008CA-Bmu-00830
13319,-118.712,31.653,31.653,35.42,-118.712,-137.393,2008CA-Bmu-00830
13320,-118.833,31.836,31.836,28.356,-118.833,-134.106,2008CA-Bmu-00830
13321,-118.74,31.7,31.7,33.155,-118.74,-125.936,2008CA-Bmu-00830
13322,-118.73000000000002,31.693,31.693,29.234,-118.73,-129.61,2008CA-Bmu-00830
13323,-118.709,31.704,31.704,30.338,-118.709,-125.484,2008CA-Bmu-00830
13324,-118.575,31.747,31.747,32.295,-118.575,-121.109,2008CA-Bmu-00830
13325,-118.551,31.789,31.789,30.987,-118.551,-114.713,2008CA-Bmu-00830
13326,-118.466,31.765,31.765,35.139,-118.466,-133.868,2008CA-Bmu-00830
13327,-118.39499999999998,31.892,31.892,30.596,-118.395,-124.842,2008CA-Bmu-00830
13328,-118.55700000000002,31.896,31.896,32.793,-118.557,-114.048,2008CA-Bmu-00830
13329,-117.878,31.797,31.797,34.834,-117.878,-126.73,2008CA-Bmu-00830
13330,-117.273,31.554,31.554,32.853,-117.273,-123.41,2008CA-Bmu-00830
13331,-116.701,31.185,31.185,31.584,-116.701,-118.559,2008CA-Bmu-00830
13332,-116.659,31.166,31.166,33.924,-116.659,-130.215,2008CA-Bmu-00830
13333,-116.49200000000002,30.826,30.826,29.762,-116.492,-121.403,2008CA-Bmu-00830
13334,-116.76999999999998,30.421,30.421,28.11,-116.77,-128.774,2008CA-Bmu-00830
13335,-116.261,30.506,30.506,29.933,-116.261,-113.641,2008CA-Bmu-00830
13336,-117.44799999999998,29.727,29.727,30.092,-117.448,-115.693,2008CA-Bmu-00830
13337,-115.779,29.565,29.565,36.352,-115.779,-147.766,2008CA-Bmu-00830
13338,-115.312,28.934,28.934,30.08,-115.312,-110.004,2008CA-Bmu-00830
13339,-115.19,28.778,28.778,34.96,-115.19,-143.843,2008CA-Bmu-00830
13340,-115.16500000000002,28.697,28.697,33.763,-115.165,-138.752,2008CA-Bmu-00830
13341,-115.30700000000002,28.73,28.73,23.627,-115.307,-138.452,2008CA-Bmu-00830
13342,-115.207,29.009,29.009,27.777,-115.207,-120.31,2008CA-Bmu-00830
