,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier
3173,-120.143,34.12,34.12,35.544,-120.143,-127.027,1999CA-Bmu-23043
3174,-120.14499999999998,34.147,34.147,32.243,-120.145,-129.529,1999CA-Bmu-23043
3175,-119.74,33.98,33.98,38.156,-119.74,-139.994,1999CA-Bmu-23043
3176,-119.77100000000002,34.163,34.163,28.573,-119.771,-145.945,1999CA-Bmu-23043
3177,-119.688,34.35,34.35,42.993,-119.688,-76.494,1999CA-Bmu-23043
3178,-119.64100000000002,34.06,34.06,25.755,-119.641,-78.743,1999CA-Bmu-23043
3179,-120.031,34.257,34.257,31.395,-120.031,-105.779,1999CA-Bmu-23043
3180,-120.053,34.32,34.32,41.271,-120.053,-153.93,1999CA-Bmu-23043
3181,-119.815,34.124,34.124,29.721,-119.815,-140.446,1999CA-Bmu-23043
3182,-119.686,34.177,34.177,41.681,-119.686,-80.803,1999CA-Bmu-23043
3183,-119.755,34.097,34.097,35.982,-119.755,-128.731,1999CA-Bmu-23043
3184,-119.725,34.167,34.167,23.71,-119.725,-67.851,1999CA-Bmu-23043
3185,-119.924,34.17,34.17,38.994,-119.924,-143.312,1999CA-Bmu-23043
3186,-119.744,34.186,34.186,43.737,-119.744,-70.155,1999CA-Bmu-23043
3187,-119.844,34.104,34.104,30.873,-119.844,-135.062,1999CA-Bmu-23043
3188,-119.789,34.083,34.083,28.545,-119.789,-146.571,1999CA-Bmu-23043
3189,-119.73000000000002,34.107,34.107,34.9,-119.73,-123.12,1999CA-Bmu-23043
3190,-119.574,34.088,34.088,36.787,-119.574,-132.933,1999CA-Bmu-23043
3191,-119.525,34.148,34.148,30.158,-119.525,-101.067,1999CA-Bmu-23043
3192,-119.522,34.102,34.102,30.769,-119.522,-135.665,1999CA-Bmu-23043
3193,-119.562,34.135,34.135,33.85,-119.562,-118.255,1999CA-Bmu-23043
3194,-119.61700000000002,34.09,34.09,34.64,-119.617,-122.335,1999CA-Bmu-23043
3195,-119.606,34.115,34.115,28.668,-119.606,-94.682,1999CA-Bmu-23043
3196,-120.15699999999998,34.02,34.02,33.154,-120.157,-124.636,1999CA-Bmu-23043
3197,-119.983,34.073,34.073,38.204,-119.983,-100.038,1999CA-Bmu-23043
3198,-119.792,34.131,34.131,32.598,-119.792,-112.719,1999CA-Bmu-23043
3199,-119.49200000000002,34.139,34.139,26.839,-119.492,-83.935,1999CA-Bmu-23043
3200,-119.62900000000002,34.242,34.242,42.764,-119.629,-160.68,1999CA-Bmu-23043
3201,-119.738,34.162,34.162,31.412,-119.738,-110.344,1999CA-Bmu-23043
3202,-119.946,34.051,34.051,27.371,-119.946,-88.289,1999CA-Bmu-23043
3203,-119.96800000000002,33.982,33.982,25.886,-119.968,-82.167,1999CA-Bmu-23043
3204,-119.826,34.171,34.171,42.843,-119.826,-75.488,1999CA-Bmu-23043
3205,-119.97,34.355,34.355,27.989,-119.97,-151.291,1999CA-Bmu-23043
3206,-120.929,34.585,34.585,40.214,-120.929,-148.534,1999CA-Bmu-23043
3207,-120.724,34.445,34.445,37.763,-120.724,-137.154,1999CA-Bmu-23043
3208,-120.751,34.577,34.577,45.448,-120.751,-64.557,1999CA-Bmu-23043
3209,-120.774,34.482,34.482,30.45,-120.774,-139.951,1999CA-Bmu-23043
3210,-120.772,34.629,34.629,39.305,-120.772,-142.862,1999CA-Bmu-23043
3211,-120.765,34.554,34.554,35.684,-120.765,-126.346,1999CA-Bmu-23043
3212,-120.721,34.434,34.434,43.791,-120.721,-75.251,1999CA-Bmu-23043
3213,-120.953,34.515,34.515,32.808,-120.953,-129.459,1999CA-Bmu-23043
3214,-120.642,34.344,34.344,38.177,-120.642,-137.982,1999CA-Bmu-23043
3215,-120.776,34.317,34.317,27.391,-120.776,-87.856,1999CA-Bmu-23043
3216,-120.622,34.268,34.268,33.359,-120.622,-116.162,1999CA-Bmu-23043
3217,-119.994,34.179,34.179,28.786,-119.994,-144.458,1999CA-Bmu-23043
3218,-120.308,34.188,34.188,39.929,-120.308,-91.128,1999CA-Bmu-23043
3219,-120.03199999999998,34.175,34.175,36.908,-120.032,-133.209,1999CA-Bmu-23043
3220,-120.09,34.32,34.32,31.103,-120.09,-105.79,1999CA-Bmu-23043
3221,-120.476,34.297,34.297,41.146,-120.476,-153.799,1999CA-Bmu-23043
3222,-119.487,34.278,34.278,29.988,-119.487,-139.892,1999CA-Bmu-23043
3223,-120.005,34.339,34.339,41.912,-120.005,-80.729,1999CA-Bmu-23043
3224,-120.088,34.173,34.173,35.82,-120.088,-127.742,1999CA-Bmu-23043
3225,-120.049,34.237,34.237,39.07,-120.049,-143.516,1999CA-Bmu-23043
3226,-120.007,34.255,34.255,28.656,-120.007,-98.692,1999CA-Bmu-23043
3227,-119.89100000000002,34.176,34.176,31.175,-119.891,-133.76,1999CA-Bmu-23043
3228,-119.978,34.109,34.109,28.605,-119.978,-146.099,1999CA-Bmu-23043
3229,-119.87099999999998,34.122,34.122,34.654,-119.871,-122.268,1999CA-Bmu-23043
3230,-119.923,34.157,34.157,36.759,-119.923,-132.709,1999CA-Bmu-23043
3231,-119.678,34.186,34.186,32.027,-119.678,-129.018,1999CA-Bmu-23043
3232,-119.985,34.102,34.102,30.876,-119.985,-135.674,1999CA-Bmu-23043
3233,-120.042,34.138,34.138,33.462,-120.042,-116.617,1999CA-Bmu-23043
3234,-120.047,34.153,34.153,34.595,-120.047,-122.246,1999CA-Bmu-23043
3235,-120.309,34.149,34.149,27.139,-120.309,-87.102,1999CA-Bmu-23043
3236,-120.314,34.23,34.23,33.34,-120.314,-124.709,1999CA-Bmu-23043
3237,-120.201,34.249,34.249,40.116,-120.201,-92.893,1999CA-Bmu-23043
3238,-120.125,34.315,34.315,32.352,-120.125,-111.062,1999CA-Bmu-23043
3239,-120.28199999999998,34.266,34.266,26.89,-120.282,-83.569,1999CA-Bmu-23043
3240,-120.305,34.304,34.304,32.455,-120.305,-111.286,1999CA-Bmu-23043
3241,-120.275,34.225,34.225,40.927,-120.275,-85.855,1999CA-Bmu-23043
3242,-120.244,34.234,34.234,41.315,-120.244,-86.964,1999CA-Bmu-23043
3243,-120.31799999999998,34.321,34.321,31.098,-120.318,-105.68,1999CA-Bmu-23043
3244,-120.259,34.321,34.321,24.74,-120.259,-72.791,1999CA-Bmu-23043
3245,-120.28300000000002,34.367,34.367,30.374,-120.283,-100.582,1999CA-Bmu-23043
3246,-119.478,34.056,34.056,37.843,-119.478,-138.761,1999CA-Bmu-23043
3247,-119.74200000000002,34.157,34.157,29.755,-119.742,-141.438,1999CA-Bmu-23043
