,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier
3609,-122.993,37.541,37.541,40.262,-122.993,-109.14,2000CA-Bmu-01386
3610,-123.296,37.6,37.6,42.751,-123.296,-98.936,2000CA-Bmu-01386
3611,-122.999,37.355,37.355,42.066,-122.999,-98.578,2000CA-Bmu-01386
3612,-123.434,37.996,37.996,45.66,-123.434,-163.8,2000CA-Bmu-01386
3613,-123.231,37.585,37.585,43.916,-123.231,-93.133,2000CA-Bmu-01386
3614,-122.65699999999998,37.364,37.364,42.901,-122.657,-152.422,2000CA-Bmu-01386
3615,-124.873,37.562,37.562,35.226,-124.873,-117.191,2000CA-Bmu-01386
3616,-124.108,37.347,37.347,39.483,-124.108,-113.042,2000CA-Bmu-01386
3617,-122.91899999999998,37.427,37.427,35.631,-122.919,-114.316,2000CA-Bmu-01386
3618,-122.83499999999998,37.545,37.545,44.129,-122.835,-89.781,2000CA-Bmu-01386
3619,-122.95600000000002,37.458,37.458,41.326,-122.956,-102.961,2000CA-Bmu-01386
3620,-122.87900000000002,37.473,37.473,34.468,-122.879,-108.75,2000CA-Bmu-01386
3621,-122.63,37.114,37.114,45.872,-122.63,-169.448,2000CA-Bmu-01386
3622,-122.95,37.629,37.629,46.314,-122.95,-78.97,2000CA-Bmu-01386
3623,-122.813,37.521,37.521,43.193,-122.813,-92.878,2000CA-Bmu-01386
3624,-122.91,37.5,37.5,44.277,-122.91,-157.369,2000CA-Bmu-01386
3625,-123.066,37.648,37.648,35.448,-123.066,-112.041,2000CA-Bmu-01386
3626,-123.263,38.071,38.071,33.483,-123.263,-101.023,2000CA-Bmu-01386
3627,-123.515,38.345,38.345,42.723,-123.515,-102.044,2000CA-Bmu-01386
3628,-125.231,40.509,40.509,34.458,-125.231,-156.578,2000CA-Bmu-01386
3629,-125.473,40.512,40.512,43.076,-125.473,-112.125,2000CA-Bmu-01386
3630,-125.981,40.602,40.602,33.653,-125.981,-90.96,2000CA-Bmu-01386
3632,-125.219,41.337,41.337,47.73,-125.219,-91.612,2000CA-Bmu-01386
3633,-124.41500000000002,40.721,40.721,35.032,-124.415,-96.819,2000CA-Bmu-01386
3634,-124.45999999999998,40.625,40.625,43.26,-124.46,-111.333,2000CA-Bmu-01386
3635,-124.488,40.537,40.537,33.431,-124.488,-91.435,2000CA-Bmu-01386
3636,-124.586,40.476,40.476,37.18,-124.586,-107.729,2000CA-Bmu-01386
3637,-124.634,40.446,40.446,44.459,-124.634,-105.507,2000CA-Bmu-01386
3638,-124.512,40.358,40.358,34.783,-124.512,-97.182,2000CA-Bmu-01386
3639,-124.53300000000002,40.389,40.389,32.42,-124.533,-164.378,2000CA-Bmu-01386
3640,-124.46800000000002,40.388,40.388,45.619,-124.468,-100.124,2000CA-Bmu-01386
3641,-124.511,40.314,40.314,43.791,-124.511,-106.871,2000CA-Bmu-01386
3642,-124.44,40.393,40.393,46.674,-124.44,-93.882,2000CA-Bmu-01386
3643,-124.414,40.328,40.328,45.681,-124.414,-96.02,2000CA-Bmu-01386
3644,-124.546,40.701,40.701,52.022,-124.546,175.231,2000CA-Bmu-01386
3645,-124.797,40.596,40.596,38.442,-124.797,-115.438,2000CA-Bmu-01386
3646,-124.413,40.78,40.78,38.415,-124.413,-112.352,2000CA-Bmu-01386
3647,-124.474,41.264,41.264,35.115,-124.474,-155.41,2000CA-Bmu-01386
3648,-124.64600000000002,42.009,42.009,44.353,-124.646,-112.477,2000CA-Bmu-01386
3649,-124.898,42.177,42.177,49.489,-124.898,-86.295,2000CA-Bmu-01386
3650,-124.666,42.163,42.163,46.716,-124.666,-101.694,2000CA-Bmu-01386
3651,-124.579,42.012,42.012,51.139,-124.579,-75.324,2000CA-Bmu-01386
3652,-124.559,42.07,42.07,48.548,-124.559,-91.305,2000CA-Bmu-01386
3653,-124.67000000000002,41.857,41.857,34.875,-124.67,-159.476,2000CA-Bmu-01386
3654,-124.41,41.067,41.067,37.432,-124.41,-106.006,2000CA-Bmu-01386
3655,-124.635,39.991,39.991,43.735,-124.635,-104.947,2000CA-Bmu-01386
3656,-124.469,39.653,39.653,47.282,-124.469,-164.798,2000CA-Bmu-01386
3657,-124.244,39.409,39.409,48.131,-124.244,-78.072,2000CA-Bmu-01386
3658,-123.969,39.208,39.208,45.127,-123.969,-94.384,2000CA-Bmu-01386
3659,-123.49599999999998,38.184,38.184,30.302,-123.496,-162.409,2000CA-Bmu-01386
3660,-123.486,38.209,38.209,36.563,-123.486,-115.537,2000CA-Bmu-01386
3661,-123.447,38.284,38.284,34.046,-123.447,-102.81,2000CA-Bmu-01386
3662,-123.389,38.288,38.288,41.019,-123.389,-109.728,2000CA-Bmu-01386
3663,-123.244,38.209,38.209,34.227,-123.244,-104.37,2000CA-Bmu-01386
3664,-123.10399999999998,38.218,38.218,31.796,-123.104,-91.819,2000CA-Bmu-01386
3665,-123.35399999999998,38.099,38.099,42.95,-123.354,-99.013,2000CA-Bmu-01386
3666,-123.082,38.2,38.2,45.61,-123.082,-160.384,2000CA-Bmu-01386
3667,-123.308,38.083,38.083,31.723,-123.308,-93.122,2000CA-Bmu-01386
3668,-123.202,38.203,38.203,39.918,-123.202,-114.509,2000CA-Bmu-01386
3669,-123.163,38.125,38.125,32.875,-123.163,-96.508,2000CA-Bmu-01386
3670,-123.16899999999998,38.107,38.107,44.466,-123.169,-92.904,2000CA-Bmu-01386
3671,-123.128,38.08,38.08,41.94,-123.128,-103.855,2000CA-Bmu-01386
3672,-123.172,38.317,38.317,45.698,-123.172,-87.887,2000CA-Bmu-01386
3673,-123.215,37.956,37.956,43.96,-123.215,-93.3,2000CA-Bmu-01386
3674,-123.423,37.95,37.95,35.704,-123.423,-112.076,2000CA-Bmu-01386
3675,-123.692,38.47,38.47,41.498,-123.692,-108.083,2000CA-Bmu-01386
3676,-123.45,38.665,38.665,40.92,-123.45,-112.369,2000CA-Bmu-01386
