,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier
14485,-120.361,34.097,34.097,33.722,-120.361,-122.802,2008CA-Bmu-05644
14486,-120.202,34.138,34.138,34.793,-120.202,-123.394,2008CA-Bmu-05644
14487,-120.449,34.208,34.208,40.021,-120.449,-148.733,2008CA-Bmu-05644
14488,-120.446,34.098,34.098,36.277,-120.446,-110.13,2008CA-Bmu-05644
14489,-120.42000000000002,34.063,34.063,36.494,-120.42,-108.595,2008CA-Bmu-05644
14490,-120.562,34.049,34.049,35.429,-120.562,-113.928,2008CA-Bmu-05644
14491,-120.551,34.057,34.057,29.677,-120.551,-141.784,2008CA-Bmu-05644
14492,-120.52100000000002,34.153,34.153,29.118,-120.521,-96.457,2008CA-Bmu-05644
14493,-120.48399999999998,34.154,34.154,29.318,-120.484,-97.984,2008CA-Bmu-05644
14494,-120.649,34.16,34.16,35.716,-120.649,-128.472,2008CA-Bmu-05644
14495,-121.752,33.887,33.887,25.995,-121.752,-85.446,2008CA-Bmu-05644
14496,-122.125,33.74,33.74,34.434,-122.125,-125.508,2008CA-Bmu-05644
14497,-123.83499999999998,33.975,33.975,35.895,-123.835,-114.405,2008CA-Bmu-05644
14498,-123.61,34.276,34.276,28.607,-123.61,-95.746,2008CA-Bmu-05644
14499,-124.061,34.096,34.096,36.113,-124.061,-134.104,2008CA-Bmu-05644
14500,-124.22,34.191,34.191,33.622,-124.22,-127.025,2008CA-Bmu-05644
14501,-123.299,33.976,33.976,34.874,-123.299,-127.752,2008CA-Bmu-05644
14502,-125.268,33.763,33.763,35.53,-125.268,-116.564,2008CA-Bmu-05644
14503,-125.10399999999998,34.008,34.008,27.867,-125.104,-96.509,2008CA-Bmu-05644
14504,-124.409,34.506,34.506,32.185,-124.409,-135.382,2008CA-Bmu-05644
14505,-125.006,34.797,34.797,34.095,-125.006,-121.524,2008CA-Bmu-05644
14506,-125.096,35.562,35.562,37.964,-125.096,-112.997,2008CA-Bmu-05644
14507,-125.11700000000002,35.735,35.735,37.62,-125.117,-115.619,2008CA-Bmu-05644
14508,-125.02800000000002,35.788,35.788,36.446,-125.028,-121.708,2008CA-Bmu-05644
14509,-124.92700000000002,36.011,36.011,30.594,-124.927,-97.963,2008CA-Bmu-05644
14510,-123.873,35.507,35.507,35.748,-123.873,-122.736,2008CA-Bmu-05644
14511,-123.24599999999998,35.037,35.037,36.566,-123.246,-130.844,2008CA-Bmu-05644
14512,-123.241,35.023,35.023,37.32,-123.241,-134.415,2008CA-Bmu-05644
14513,-121.98399999999998,35.85,35.85,34.917,-121.984,-126.632,2008CA-Bmu-05644
14514,-122.116,35.813,35.813,34.689,-122.116,-127.831,2008CA-Bmu-05644
14515,-121.733,35.981,35.981,30.861,-121.733,-100.088,2008CA-Bmu-05644
14516,-121.634,35.32,35.32,38.503,-121.634,-105.563,2008CA-Bmu-05644
14517,-121.70499999999998,35.107,35.107,28.166,-121.705,-90.102,2008CA-Bmu-05644
14518,-121.495,35.03,35.03,39.022,-121.495,-141.007,2008CA-Bmu-05644
14519,-121.654,35.105,35.105,38.656,-121.654,-139.416,2008CA-Bmu-05644
14520,-121.017,34.658,34.658,34.674,-121.017,-120.934,2008CA-Bmu-05644
14521,-121.19299999999998,34.718,34.718,31.969,-121.193,-135.194,2008CA-Bmu-05644
14522,-121.412,34.592,34.592,32.56,-121.412,-131.322,2008CA-Bmu-05644
14523,-121.37900000000002,34.517,34.517,29.603,-121.379,-105.216,2008CA-Bmu-05644
14524,-121.079,34.532,34.532,33.965,-121.079,-118.298,2008CA-Bmu-05644
14525,-120.264,33.701,33.701,31.877,-120.264,-128.668,2008CA-Bmu-05644
14526,-120.214,33.495,33.495,34.488,-120.214,-115.376,2008CA-Bmu-05644
14527,-119.424,34.016,34.016,36.195,-119.424,-112.205,2008CA-Bmu-05644
14528,-120.036,32.876,32.876,25.836,-120.036,-85.329,2008CA-Bmu-05644
14529,-121.37900000000002,32.128,32.128,28.648,-121.379,-105.795,2008CA-Bmu-05644
14530,-121.553,32.015,32.015,29.713,-121.553,-110.012,2008CA-Bmu-05644
14531,-121.974,32.832,32.832,36.765,-121.974,-103.531,2008CA-Bmu-05644
14532,-121.65699999999998,32.643,32.643,34.635,-121.657,-111.566,2008CA-Bmu-05644
14533,-122.012,32.667,32.667,25.087,-122.012,-86.164,2008CA-Bmu-05644
14534,-122.01,32.725,32.725,26.617,-122.01,-93.545,2008CA-Bmu-05644
14535,-121.899,32.322,32.322,33.118,-121.899,-125.87,2008CA-Bmu-05644
14536,-121.866,32.317,32.317,35.856,-121.866,-138.753,2008CA-Bmu-05644
14537,-121.37099999999998,31.843,31.843,33.186,-121.371,-114.846,2008CA-Bmu-05644
14538,-121.208,31.912,31.912,30.047,-121.208,-130.015,2008CA-Bmu-05644
14539,-121.358,31.856,31.856,25.264,-121.358,-89.224,2008CA-Bmu-05644
14540,-122.09199999999998,31.576,31.576,36.773,-122.092,-147.096,2008CA-Bmu-05644
14541,-121.402,31.143,31.143,35.235,-121.402,-101.7,2008CA-Bmu-05644
14542,-120.769,31.238,31.238,34.212,-120.769,-106.652,2008CA-Bmu-05644
14543,-121.60899999999998,30.996,30.996,31.787,-121.609,-117.776,2008CA-Bmu-05644
14544,-121.313,31.134,31.134,32.578,-121.313,-128.028,2008CA-Bmu-05644
14545,-121.272,31.131,31.131,31.79,-121.272,-118.069,2008CA-Bmu-05644
