,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier
2368,-120.689,34.304,34.304,44.948,-120.689,-173.144,1999CA-Bmu-04176
2369,-120.547,34.139,34.139,35.196,-120.547,-125.807,1999CA-Bmu-04176
2370,-120.39600000000002,34.153,34.153,41.911,-120.396,-84.347,1999CA-Bmu-04176
2371,-120.64499999999998,34.059,34.059,32.968,-120.645,-115.156,1999CA-Bmu-04176
2372,-120.58499999999998,34.406,34.406,31.844,-120.585,-133.397,1999CA-Bmu-04176
2373,-120.60899999999998,34.345,34.345,29.375,-120.609,-97.597,1999CA-Bmu-04176
2374,-120.936,34.774,34.774,32.299,-120.936,-108.939,1999CA-Bmu-04176
2375,-120.826,34.842,34.842,28.596,-120.826,-91.05,1999CA-Bmu-04176
2376,-120.902,34.861,34.861,39.914,-120.902,-146.239,1999CA-Bmu-04176
2377,-120.837,34.533,34.533,37.545,-120.837,-135.843,1999CA-Bmu-04176
2378,-120.708,34.599,34.599,35.518,-120.708,-125.353,1999CA-Bmu-04176
2379,-120.757,34.742,34.742,29.623,-120.757,-96.669,1999CA-Bmu-04176
2380,-120.51,34.199,34.199,38.348,-120.51,-99.619,1999CA-Bmu-04176
2381,-120.848,34.636,34.636,27.838,-120.848,-154.46,1999CA-Bmu-04176
2382,-120.382,34.051,34.051,29.276,-120.382,-143.942,1999CA-Bmu-04176
2383,-120.368,33.791,33.791,29.997,-120.368,-102.549,1999CA-Bmu-04176
2384,-121.311,32.907,32.907,32.505,-121.311,-119.025,1999CA-Bmu-04176
2385,-119.327,32.637,32.637,29.672,-119.327,-103.888,1999CA-Bmu-04176
2386,-118.171,31.671,31.671,30.626,-118.171,-112.993,1999CA-Bmu-04176
2387,-117.44799999999998,31.087,31.087,35.157,-117.448,-98.585,1999CA-Bmu-04176
2388,-117.213,30.498,30.498,24.69,-117.213,-90.629,1999CA-Bmu-04176
2389,-116.227,28.262,28.262,33.701,-116.227,-89.815,1999CA-Bmu-04176
2390,-115.935,27.123,27.123,21.212,-115.935,-144.156,1999CA-Bmu-04176
2391,-115.695,26.761,26.761,25.352,-115.695,-109.25,1999CA-Bmu-04176
2392,-114.47899999999998,25.183,25.183,21.925,-114.479,-100.092,1999CA-Bmu-04176
2393,-115.639,26.008,26.008,22.5,-115.639,-101.494,1999CA-Bmu-04176
2394,-113.762,23.333,23.333,18.171,-113.762,-90.68,1999CA-Bmu-04176
2395,-112.454,21.609,21.609,18.976,-112.454,-100.104,1999CA-Bmu-04176
2396,-110.296,21.371,21.371,22.488,-110.296,-115.366,1999CA-Bmu-04176
2397,-111.309,21.362,21.362,14.601,-111.309,-79.992,1999CA-Bmu-04176
2398,-109.672,22.057,22.057,19.339,-109.672,-97.128,1999CA-Bmu-04176
2399,-109.122,21.881,21.881,17.307,-109.122,-88.59,1999CA-Bmu-04176
2400,-109.136,21.967,21.967,14.662,-109.136,-76.541,1999CA-Bmu-04176
2401,-108.296,22.173,22.173,16.648,-108.296,-83.798,1999CA-Bmu-04176
2402,-108.49200000000002,23.19,23.19,24.501,-108.492,-114.673,1999CA-Bmu-04176
2403,-108.37,23.361,23.361,17.195,-108.37,-81.217,1999CA-Bmu-04176
2404,-108.74599999999998,23.14,23.14,25.18,-108.746,-118.752,1999CA-Bmu-04176
2405,-108.95999999999998,23.151,23.151,26.587,-108.96,-124.95,1999CA-Bmu-04176
2406,-109.11700000000002,23.131,23.131,22.88,-109.117,-107.94,1999CA-Bmu-04176
2407,-108.98000000000002,23.036,23.036,25.515,-108.98,-97.766,1999CA-Bmu-04176
2408,-109.102,23.077,23.077,20.535,-109.102,-97.952,1999CA-Bmu-04176
2409,-109.019,22.911,22.911,18.034,-109.019,-86.765,1999CA-Bmu-04176
2410,-109.112,22.888,22.888,31.567,-109.112,-151.461,1999CA-Bmu-04176
2411,-109.281,22.787,22.787,17.533,-109.281,-86.466,1999CA-Bmu-04176
2412,-109.741,22.648,22.648,23.333,-109.741,-112.951,1999CA-Bmu-04176
2414,-110.696,21.475,21.475,23.029,-110.696,-117.955,1999CA-Bmu-04176
2415,-111.425,21.751,21.751,20.696,-111.425,-106.403,1999CA-Bmu-04176
2416,-110.613,20.892,20.892,16.371,-110.613,-90.633,1999CA-Bmu-04176
2417,-111.551,20.949,20.949,21.066,-111.551,-112.096,1999CA-Bmu-04176
2418,-109.239,22.276,22.276,25.621,-109.239,-94.339,1999CA-Bmu-04176
2419,-109.134,22.732,22.732,17.946,-109.134,-89.154,1999CA-Bmu-04176
2420,-109.418,22.558,22.558,15.195,-109.418,-75.526,1999CA-Bmu-04176
2421,-109.01,23.115,23.115,24.052,-109.01,-113.008,1999CA-Bmu-04176
2422,-109.099,23.881,23.881,22.405,-109.099,-102.207,1999CA-Bmu-04176
2423,-109.275,24.32,24.32,25.562,-109.275,-114.817,1999CA-Bmu-04176
2424,-109.362,24.295,24.295,20.409,-109.362,-91.108,1999CA-Bmu-04176
2425,-109.349,24.63,24.63,26.349,-109.349,-117.538,1999CA-Bmu-04176
2426,-109.445,25.073,25.073,24.47,-109.445,-106.612,1999CA-Bmu-04176
2427,-108.999,25.151,25.151,25.834,-108.999,-111.745,1999CA-Bmu-04176
2428,-110.788,26.214,26.214,23.808,-110.788,-99.479,1999CA-Bmu-04176
2429,-111.72899999999998,27.434,27.434,19.775,-111.729,-76.829,1999CA-Bmu-04176
2430,-111.86,27.892,27.892,28.248,-111.86,-113.531,1999CA-Bmu-04176
2431,-111.872,27.775,27.775,30.917,-111.872,-97.386,1999CA-Bmu-04176
2432,-111.684,27.733,27.733,23.631,-111.684,-92.676,1999CA-Bmu-04176
2433,-111.685,27.759,27.759,25.955,-111.685,-103.232,1999CA-Bmu-04176
2434,-111.95499999999998,28.119,28.119,30.837,-111.955,-99.099,1999CA-Bmu-04176
2435,-112.046,28.151,28.151,22.497,-112.046,-86.6,1999CA-Bmu-04176
2436,-112.037,28.093,28.093,23.699,-112.037,-92.022,1999CA-Bmu-04176
2437,-112.10500000000002,27.947,27.947,33.507,-112.105,-86.286,1999CA-Bmu-04176
2438,-112.12099999999998,28.124,28.124,21.574,-112.121,-80.99,1999CA-Bmu-04176
2439,-112.276,28.187,28.187,30.369,-112.276,-122.316,1999CA-Bmu-04176
2440,-112.173,28.362,28.362,32.097,-112.173,-93.672,1999CA-Bmu-04176
2441,-112.21800000000002,28.33,28.33,27.2,-112.218,-106.645,1999CA-Bmu-04176
2442,-112.303,28.708,28.708,36.071,-112.303,-148.866,1999CA-Bmu-04176
2443,-112.311,28.643,28.643,34.726,-112.311,-83.218,1999CA-Bmu-04176
2444,-112.47199999999998,28.73,28.73,26.211,-112.472,-101.155,1999CA-Bmu-04176
2445,-112.482,28.739,28.739,31.152,-112.482,-101.268,1999CA-Bmu-04176
2446,-112.458,28.651,28.651,32.228,-112.458,-95.822,1999CA-Bmu-04176
2447,-112.375,28.672,28.672,29.244,-112.375,-109.535,1999CA-Bmu-04176
2448,-112.54500000000002,28.763,28.763,25.673,-112.545,-101.082,1999CA-Bmu-04176
2449,-112.445,28.59,28.59,31.439,-112.445,-98.585,1999CA-Bmu-04176
2450,-112.53199999999998,28.529,28.529,22.438,-112.532,-84.629,1999CA-Bmu-04176
2451,-112.473,28.139,28.139,34.012,-112.473,-84.635,1999CA-Bmu-04176
2452,-112.328,28.531,28.531,29.738,-112.328,-118.08,1999CA-Bmu-04176
2453,-112.876,28.471,28.471,26.298,-112.876,-106.023,1999CA-Bmu-04176
2454,-112.09199999999998,27.597,27.597,31.657,-112.092,-92.976,1999CA-Bmu-04176
2455,-111.79000000000002,27.489,27.489,26.28,-111.79,-106.231,1999CA-Bmu-04176
2456,-111.989,27.587,27.587,25.072,-111.989,-100.562,1999CA-Bmu-04176
2457,-111.94799999999998,27.419,27.419,30.12,-111.948,-99.435,1999CA-Bmu-04176
2458,-112.116,27.476,27.476,30.771,-112.116,-127.642,1999CA-Bmu-04176
2459,-112.248,27.427,27.427,22.418,-112.248,-89.383,1999CA-Bmu-04176
2460,-112.143,27.479,27.479,25.14,-112.143,-102.279,1999CA-Bmu-04176
2461,-112.215,27.468,27.468,30.492,-112.215,-97.994,1999CA-Bmu-04176
2462,-111.974,27.466,27.466,23.216,-111.974,-92.211,1999CA-Bmu-04176
2463,-112.35399999999998,27.72,27.72,34.265,-112.354,-82.687,1999CA-Bmu-04176
2464,-111.87099999999998,27.611,27.611,19.069,-111.871,-72.935,1999CA-Bmu-04176
2465,-112.39600000000002,28.135,28.135,32.137,-112.396,-92.816,1999CA-Bmu-04176
2466,-112.491,28.122,28.122,26.202,-112.491,-103.872,1999CA-Bmu-04176
2467,-112.587,28.189,28.189,22.443,-112.587,-85.892,1999CA-Bmu-04176
