,location-long,location-lat,individual-local-identifier,year,month
1798,-122.502,34.382,1999CA-Bmu-00838,1999,10
1799,-120.53199999999998,34.155,1999CA-Bmu-00838,1999,10
1800,-120.751,34.133,1999CA-Bmu-00838,1999,10
1801,-120.507,33.997,1999CA-Bmu-00838,1999,10
1802,-120.607,34.129,1999CA-Bmu-00838,1999,10
1803,-120.728,34.146,1999CA-Bmu-00838,1999,10
1804,-120.826,34.307,1999CA-Bmu-00838,1999,10
1805,-120.94799999999998,34.474,1999CA-Bmu-00838,1999,10
1806,-120.85500000000002,34.596,1999CA-Bmu-00838,1999,10
1807,-120.85399999999998,34.579,1999CA-Bmu-00838,1999,10
1808,-120.994,34.68,1999CA-Bmu-00838,1999,10
1809,-121.332,34.854,1999CA-Bmu-00838,1999,10
1810,-120.89100000000002,34.63,1999CA-Bmu-00838,1999,10
1811,-120.998,34.65,1999CA-Bmu-00838,1999,10
1812,-120.96699999999998,34.495,1999CA-Bmu-00838,1999,11
1813,-121.566,35.043,1999CA-Bmu-00838,1999,11
1814,-120.913,34.624,1999CA-Bmu-00838,1999,11
1815,-120.816,34.566,1999CA-Bmu-00838,1999,11
1816,-120.624,34.482,1999CA-Bmu-00838,1999,11
1817,-120.935,34.636,1999CA-Bmu-00838,1999,11
1818,-120.80599999999998,34.63,1999CA-Bmu-00838,1999,11
1819,-121.09300000000002,34.505,1999CA-Bmu-00838,1999,11
1820,-120.41899999999998,34.241,1999CA-Bmu-00838,1999,11
1821,-120.457,34.204,1999CA-Bmu-00838,1999,11
1822,-119.728,34.091,1999CA-Bmu-00838,1999,11
1823,-119.583,34.075,1999CA-Bmu-00838,1999,11
1824,-119.114,33.877,1999CA-Bmu-00838,1999,11
1825,-118.87,33.877,1999CA-Bmu-00838,1999,11
1826,-118.761,33.86,1999CA-Bmu-00838,1999,11
1827,-119.009,33.959,1999CA-Bmu-00838,1999,11
1828,-117.966,33.45,1999CA-Bmu-00838,1999,11
1829,-117.469,32.801,1999CA-Bmu-00838,1999,11
1830,-117.313,32.264,1999CA-Bmu-00838,1999,11
1831,-117.14100000000002,31.888,1999CA-Bmu-00838,1999,11
1832,-116.939,31.48,1999CA-Bmu-00838,1999,11
1833,-115.808,29.711,1999CA-Bmu-00838,1999,11
1834,-115.147,27.004,1999CA-Bmu-00838,1999,11
1835,-114.936,26.862,1999CA-Bmu-00838,1999,11
1836,-113.654,25.886,1999CA-Bmu-00838,1999,11
1837,-113.36700000000002,25.701,1999CA-Bmu-00838,1999,11
1838,-112.921,25.667,1999CA-Bmu-00838,1999,11
1839,-112.514,25.157,1999CA-Bmu-00838,1999,11
1840,-113.583,25.065,1999CA-Bmu-00838,1999,11
1841,-111.929,24.219,1999CA-Bmu-00838,1999,11
1842,-112.785,24.099,1999CA-Bmu-00838,1999,12
1843,-111.094,23.186,1999CA-Bmu-00838,1999,12
1844,-111.035,23.17,1999CA-Bmu-00838,1999,12
1845,-110.852,23.118,1999CA-Bmu-00838,1999,12
1846,-110.512,23.098,1999CA-Bmu-00838,1999,12
1847,-109.952,22.574,1999CA-Bmu-00838,1999,12
1848,-109.991,22.651,1999CA-Bmu-00838,1999,12
1849,-109.04399999999998,22.721,1999CA-Bmu-00838,1999,12
1850,-108.953,23.133,1999CA-Bmu-00838,1999,12
1851,-109.276,23.169,1999CA-Bmu-00838,1999,12
1852,-108.128,23.63,1999CA-Bmu-00838,1999,12
1853,-108.963,23.816,1999CA-Bmu-00838,1999,12
1854,-109.11,24.725,1999CA-Bmu-00838,1999,12
1855,-109.647,25.056,1999CA-Bmu-00838,1999,12
1856,-109.473,26.08,1999CA-Bmu-00838,1999,12
1857,-110.178,25.992,1999CA-Bmu-00838,1999,12
1858,-110.293,25.901,1999CA-Bmu-00838,1999,12
1859,-110.041,25.531,1999CA-Bmu-00838,1999,12
1860,-109.768,25.545,1999CA-Bmu-00838,1999,12
1861,-110.272,25.973,1999CA-Bmu-00838,1999,12
1862,-109.87900000000002,25.393,1999CA-Bmu-00838,1999,12
1863,-109.461,25.44,1999CA-Bmu-00838,1999,12
1864,-109.576,25.369,1999CA-Bmu-00838,1999,12
1865,-109.297,24.612,1999CA-Bmu-00838,1999,12
1866,-109.224,24.963,1999CA-Bmu-00838,1999,12
1867,-109.259,25.245,1999CA-Bmu-00838,1999,12
1868,-109.59199999999998,25.185,1999CA-Bmu-00838,2000,1
1869,-109.747,25.408,1999CA-Bmu-00838,2000,1
1870,-110.452,25.779,1999CA-Bmu-00838,2000,1
1871,-110.465,25.79,1999CA-Bmu-00838,2000,1
1872,-110.753,26.056,1999CA-Bmu-00838,2000,1
1873,-110.647,26.1,1999CA-Bmu-00838,2000,1
1874,-110.72,26.07,1999CA-Bmu-00838,2000,1
1875,-111.445,26.969,1999CA-Bmu-00838,2000,1
1876,-111.695,27.409,1999CA-Bmu-00838,2000,1
1877,-111.543,27.293,1999CA-Bmu-00838,2000,1
1878,-111.14,27.307,1999CA-Bmu-00838,2000,1
1879,-111.02100000000002,27.58,1999CA-Bmu-00838,2000,1
1880,-111.14100000000002,27.562,1999CA-Bmu-00838,2000,1
1881,-111.164,27.54,1999CA-Bmu-00838,2000,1
1882,-111.406,27.527,1999CA-Bmu-00838,2000,1
1883,-111.57,27.577,1999CA-Bmu-00838,2000,1
1884,-111.56900000000002,27.516,1999CA-Bmu-00838,2000,1
1885,-111.261,27.493,1999CA-Bmu-00838,2000,1
1886,-111.767,27.493,1999CA-Bmu-00838,2000,1
1887,-111.642,27.572,1999CA-Bmu-00838,2000,1
1888,-111.66899999999998,27.521,1999CA-Bmu-00838,2000,1
1889,-112.21800000000002,27.399,1999CA-Bmu-00838,2000,1
1890,-111.624,27.38,1999CA-Bmu-00838,2000,1
1891,-111.70499999999998,27.414,1999CA-Bmu-00838,2000,1
1892,-111.774,27.197,1999CA-Bmu-00838,2000,1
1893,-111.61700000000002,27.27,1999CA-Bmu-00838,2000,1
1894,-111.567,27.468,1999CA-Bmu-00838,2000,1
1895,-111.686,27.458,1999CA-Bmu-00838,2000,1
1896,-111.832,27.576,1999CA-Bmu-00838,2000,1
1897,-111.882,27.777,1999CA-Bmu-00838,2000,1
1898,-111.90699999999998,27.689,1999CA-Bmu-00838,2000,1
1899,-111.768,27.641,1999CA-Bmu-00838,2000,1
1900,-111.578,27.404,1999CA-Bmu-00838,2000,1
1901,-111.725,27.502,1999CA-Bmu-00838,2000,1
1902,-111.785,27.589,1999CA-Bmu-00838,2000,1
1903,-111.76,27.464,1999CA-Bmu-00838,2000,1
1904,-111.6,27.304,1999CA-Bmu-00838,2000,1
1905,-111.559,27.105,1999CA-Bmu-00838,2000,1
1906,-111.326,27.054,1999CA-Bmu-00838,2000,1
1907,-111.304,27.067,1999CA-Bmu-00838,2000,1
1908,-111.284,27.013,1999CA-Bmu-00838,2000,1
1909,-111.267,26.994,1999CA-Bmu-00838,2000,1
1910,-111.2,26.854,1999CA-Bmu-00838,2000,1
1911,-111.12900000000002,26.866,1999CA-Bmu-00838,2000,1
1912,-111.07999999999998,27.011,1999CA-Bmu-00838,2000,1
1913,-111.02100000000002,26.966,1999CA-Bmu-00838,2000,1
1914,-110.988,27.09,1999CA-Bmu-00838,2000,1
1915,-111.189,27.371,1999CA-Bmu-00838,2000,1
1916,-111.60399999999998,27.303,1999CA-Bmu-00838,2000,1
1917,-111.425,27.521,1999CA-Bmu-00838,2000,1
1918,-111.328,27.443,1999CA-Bmu-00838,2000,1
1919,-111.35500000000002,27.246,1999CA-Bmu-00838,2000,2
