,location-long,location-lat,individual-local-identifier,year,month
550,-120.24200000000002,34.112,1995CA-Bmu-23041,1995,9
551,-120.176,34.16,1995CA-Bmu-23041,1995,9
552,-120.036,34.234,1995CA-Bmu-23041,1995,9
553,-120.14499999999998,34.287,1995CA-Bmu-23041,1995,9
554,-119.741,34.213,1995CA-Bmu-23041,1995,9
555,-120.13299999999998,34.209,1995CA-Bmu-23041,1995,9
556,-120.368,34.126,1995CA-Bmu-23041,1995,9
557,-119.314,34.071,1995CA-Bmu-23041,1995,9
558,-120.156,34.321,1995CA-Bmu-23041,1995,9
559,-120.151,34.022,1995CA-Bmu-23041,1995,9
560,-119.704,34.257,1995CA-Bmu-23041,1995,9
561,-120.204,34.108,1995CA-Bmu-23041,1995,9
562,-120.263,34.021,1995CA-Bmu-23041,1995,9
563,-120.83499999999998,33.746,1995CA-Bmu-23041,1995,9
564,-120.926,33.977,1995CA-Bmu-23041,1995,9
565,-120.279,34.039,1995CA-Bmu-23041,1995,9
566,-119.821,34.163,1995CA-Bmu-23041,1995,9
567,-120.47,34.148,1995CA-Bmu-23041,1995,9
568,-120.471,34.273,1995CA-Bmu-23041,1995,9
569,-120.601,34.242,1995CA-Bmu-23041,1995,9
570,-120.454,34.153,1995CA-Bmu-23041,1995,9
571,-120.68200000000002,34.099,1995CA-Bmu-23041,1995,9
572,-120.613,34.247,1995CA-Bmu-23041,1995,9
573,-120.639,34.239,1995CA-Bmu-23041,1995,9
574,-121.07,33.928,1995CA-Bmu-23041,1995,9
575,-121.178,33.855,1995CA-Bmu-23041,1995,9
576,-120.904,33.803,1995CA-Bmu-23041,1995,9
577,-121.275,33.756,1995CA-Bmu-23041,1995,9
578,-121.26,33.558,1995CA-Bmu-23041,1995,9
579,-120.901,33.373,1995CA-Bmu-23041,1995,9
580,-120.983,33.275,1995CA-Bmu-23041,1995,9
581,-121.076,33.007,1995CA-Bmu-23041,1995,9
582,-120.918,32.922,1995CA-Bmu-23041,1995,9
583,-121.015,32.893,1995CA-Bmu-23041,1995,9
584,-120.93,32.751,1995CA-Bmu-23041,1995,9
585,-121.375,32.472,1995CA-Bmu-23041,1995,9
586,-120.707,32.588,1995CA-Bmu-23041,1995,9
587,-119.401,31.311,1995CA-Bmu-23041,1995,9
588,-120.982,32.328,1995CA-Bmu-23041,1995,9
589,-120.901,32.39,1995CA-Bmu-23041,1995,9
590,-120.946,32.326,1995CA-Bmu-23041,1995,9
591,-121.01999999999998,32.374,1995CA-Bmu-23041,1995,9
592,-120.957,32.307,1995CA-Bmu-23041,1995,9
593,-120.86,32.252,1995CA-Bmu-23041,1995,9
594,-120.957,32.402,1995CA-Bmu-23041,1995,9
595,-121.377,32.706,1995CA-Bmu-23041,1995,9
596,-120.825,32.287,1995CA-Bmu-23041,1995,9
597,-120.905,32.283,1995CA-Bmu-23041,1995,9
598,-121.314,32.145,1995CA-Bmu-23041,1995,9
599,-120.952,32.217,1995CA-Bmu-23041,1995,9
600,-121.197,32.231,1995CA-Bmu-23041,1995,9
601,-120.833,32.285,1995CA-Bmu-23041,1995,9
602,-120.916,32.416,1995CA-Bmu-23041,1995,9
603,-120.977,32.28,1995CA-Bmu-23041,1995,9
604,-120.702,32.441,1995CA-Bmu-23041,1995,9
