,location-long,location-lat,individual-local-identifier,year,month
10887,-116.73399999999998,30.793,2007CA-Bmu-00847,2007,11
10888,-118.25400000000002,30.328,2007CA-Bmu-00847,2007,12
10889,-116.499,31.077,2007CA-Bmu-00847,2007,12
10890,-116.52100000000002,31.057,2007CA-Bmu-00847,2007,12
10891,-116.481,31.094,2007CA-Bmu-00847,2007,12
10892,-116.558,31.176,2007CA-Bmu-00847,2007,12
10893,-116.39100000000002,30.64,2007CA-Bmu-00847,2007,12
10894,-115.918,30.033,2007CA-Bmu-00847,2007,12
10895,-115.951,30.141,2007CA-Bmu-00847,2007,12
10896,-116.22199999999998,30.257,2007CA-Bmu-00847,2007,12
10897,-115.945,29.922,2007CA-Bmu-00847,2007,12
10898,-115.973,29.377,2007CA-Bmu-00847,2007,12
10899,-115.793,28.997,2007CA-Bmu-00847,2007,12
10900,-115.378,29.225,2007CA-Bmu-00847,2007,12
10901,-114.872,28.167,2007CA-Bmu-00847,2007,12
10902,-114.826,27.121,2007CA-Bmu-00847,2007,12
10903,-113.075,25.528,2007CA-Bmu-00847,2007,12
10904,-114.56900000000002,27.239,2007CA-Bmu-00847,2007,12
10905,-114.619,27.381,2007CA-Bmu-00847,2007,12
10906,-114.88,27.515,2007CA-Bmu-00847,2007,12
10907,-115.531,27.907,2007CA-Bmu-00847,2007,12
10908,-115.51600000000002,27.912,2007CA-Bmu-00847,2007,12
10909,-115.697,28.217,2007CA-Bmu-00847,2007,12
10910,-115.48399999999998,28.467,2007CA-Bmu-00847,2007,12
10911,-115.41899999999998,28.425,2007CA-Bmu-00847,2007,12
10912,-115.173,28.624,2007CA-Bmu-00847,2007,12
10913,-115.838,28.668,2007CA-Bmu-00847,2007,12
10914,-115.219,28.461,2007CA-Bmu-00847,2007,12
10915,-115.43,28.654,2007CA-Bmu-00847,2007,12
10916,-115.61,28.603,2007CA-Bmu-00847,2007,12
10917,-115.332,28.53,2007CA-Bmu-00847,2007,12
10918,-115.30200000000002,28.961,2007CA-Bmu-00847,2007,12
10919,-115.14499999999998,28.9,2007CA-Bmu-00847,2007,12
10920,-116.777,29.154,2007CA-Bmu-00847,2008,1
10921,-115.127,28.974,2007CA-Bmu-00847,2008,1
10922,-115.35500000000002,29.103,2007CA-Bmu-00847,2008,1
10923,-115.287,29.147,2007CA-Bmu-00847,2008,1
