,location-long,location-lat,individual-local-identifier,year,month
2075,-120.414,34.053,1999CA-Bmu-02082,1999,10
2076,-121.091,34.078,1999CA-Bmu-02082,1999,10
2077,-120.561,33.861,1999CA-Bmu-02082,1999,10
2078,-120.03,34.071,1999CA-Bmu-02082,1999,10
2079,-120.244,33.904,1999CA-Bmu-02082,1999,10
2080,-121.655,34.152,1999CA-Bmu-02082,1999,10
2081,-120.482,34.097,1999CA-Bmu-02082,1999,10
2082,-120.412,33.9,1999CA-Bmu-02082,1999,10
2083,-120.369,34.021,1999CA-Bmu-02082,1999,10
2084,-120.631,33.987,1999CA-Bmu-02082,1999,10
2085,-120.512,34.294,1999CA-Bmu-02082,1999,10
2086,-120.80200000000002,34.236,1999CA-Bmu-02082,1999,10
2087,-120.58499999999998,33.937,1999CA-Bmu-02082,1999,10
2088,-120.542,33.909,1999CA-Bmu-02082,1999,10
2089,-120.541,33.97,1999CA-Bmu-02082,1999,10
2090,-120.564,34.038,1999CA-Bmu-02082,1999,10
2091,-120.583,33.996,1999CA-Bmu-02082,1999,10
2092,-120.804,34.167,1999CA-Bmu-02082,1999,10
2093,-120.548,34.033,1999CA-Bmu-02082,1999,10
2094,-120.63299999999998,34.023,1999CA-Bmu-02082,1999,10
2095,-120.537,33.884,1999CA-Bmu-02082,1999,10
2096,-120.5,34.08,1999CA-Bmu-02082,1999,10
2097,-120.67700000000002,34.15,1999CA-Bmu-02082,1999,10
2098,-120.781,34.811,1999CA-Bmu-02082,1999,10
2099,-120.643,34.145,1999CA-Bmu-02082,1999,10
2100,-120.749,34.141,1999CA-Bmu-02082,1999,10
2101,-121.73000000000002,35.33,1999CA-Bmu-02082,1999,10
2102,-120.685,34.216,1999CA-Bmu-02082,1999,10
2103,-120.71800000000002,34.389,1999CA-Bmu-02082,1999,10
2104,-123.297,35.011,1999CA-Bmu-02082,1999,10
2105,-120.652,34.063,1999CA-Bmu-02082,1999,10
2106,-120.24,33.95,1999CA-Bmu-02082,1999,10
2107,-120.75,34.252,1999CA-Bmu-02082,1999,10
2108,-121.083,33.954,1999CA-Bmu-02082,1999,10
2109,-120.673,34.18,1999CA-Bmu-02082,1999,10
2110,-120.207,33.962,1999CA-Bmu-02082,1999,10
2111,-120.619,33.71,1999CA-Bmu-02082,1999,10
2112,-121.239,34.01,1999CA-Bmu-02082,1999,10
2113,-120.01600000000002,34.313,1999CA-Bmu-02082,1999,10
2114,-120.388,34.094,1999CA-Bmu-02082,1999,10
2115,-120.49599999999998,34.179,1999CA-Bmu-02082,1999,10
2116,-120.171,34.103,1999CA-Bmu-02082,1999,10
2117,-120.37,34.104,1999CA-Bmu-02082,1999,10
2118,-120.325,34.0,1999CA-Bmu-02082,1999,10
2119,-120.26600000000002,34.238,1999CA-Bmu-02082,1999,10
2120,-121.882,34.358,1999CA-Bmu-02082,1999,10
2121,-120.22,34.132,1999CA-Bmu-02082,1999,10
2122,-120.237,34.14,1999CA-Bmu-02082,1999,10
2123,-119.99,34.339,1999CA-Bmu-02082,1999,10
2124,-120.303,34.068,1999CA-Bmu-02082,1999,10
2125,-120.356,34.125,1999CA-Bmu-02082,1999,10
2126,-120.382,34.094,1999CA-Bmu-02082,1999,10
2127,-120.014,33.934,1999CA-Bmu-02082,1999,10
2128,-120.363,34.098,1999CA-Bmu-02082,1999,10
2129,-119.946,34.093,1999CA-Bmu-02082,1999,10
2130,-120.208,34.309,1999CA-Bmu-02082,1999,10
2131,-120.689,34.148,1999CA-Bmu-02082,1999,10
2132,-121.29399999999998,34.033,1999CA-Bmu-02082,1999,10
2133,-120.635,34.261,1999CA-Bmu-02082,1999,10
2134,-120.62,34.258,1999CA-Bmu-02082,1999,10
2135,-120.642,34.276,1999CA-Bmu-02082,1999,10
2136,-120.764,34.181,1999CA-Bmu-02082,1999,10
2137,-120.779,34.086,1999CA-Bmu-02082,1999,10
2138,-121.946,34.096,1999CA-Bmu-02082,1999,10
2139,-120.529,34.09,1999CA-Bmu-02082,1999,10
2140,-120.887,34.538,1999CA-Bmu-02082,1999,10
2141,-121.054,34.781,1999CA-Bmu-02082,1999,10
2142,-121.321,34.424,1999CA-Bmu-02082,1999,10
2143,-120.954,34.573,1999CA-Bmu-02082,1999,10
2144,-120.623,33.693,1999CA-Bmu-02082,1999,10
2145,-120.29500000000002,33.859,1999CA-Bmu-02082,1999,10
2146,-119.64499999999998,33.355,1999CA-Bmu-02082,1999,10
2147,-119.192,32.418,1999CA-Bmu-02082,1999,10
2148,-118.305,31.906,1999CA-Bmu-02082,1999,11
2149,-117.825,31.06,1999CA-Bmu-02082,1999,11
2150,-117.41899999999998,30.711,1999CA-Bmu-02082,1999,11
2151,-116.964,30.511,1999CA-Bmu-02082,1999,11
