,location-long,location-lat,individual-local-identifier,year,month
4813,-113.779,26.615,2002MX-Bmu-00840,2002,5
4814,-114.01600000000002,26.76,2002MX-Bmu-00840,2002,5
4815,-113.812,26.676,2002MX-Bmu-00840,2002,5
4816,-113.80599999999998,26.516,2002MX-Bmu-00840,2002,5
4817,-113.30700000000002,26.665,2002MX-Bmu-00840,2002,5
4818,-113.541,26.497,2002MX-Bmu-00840,2002,5
4819,-113.833,26.496,2002MX-Bmu-00840,2002,5
4820,-114.05,26.408,2002MX-Bmu-00840,2002,5
4821,-113.628,26.52,2002MX-Bmu-00840,2002,5
4822,-113.872,26.371,2002MX-Bmu-00840,2002,5
4823,-113.89600000000002,26.545,2002MX-Bmu-00840,2002,5
4824,-113.405,26.27,2002MX-Bmu-00840,2002,5
4825,-114.04000000000002,26.391,2002MX-Bmu-00840,2002,5
4826,-113.65800000000002,26.265,2002MX-Bmu-00840,2002,5
4827,-113.673,26.38,2002MX-Bmu-00840,2002,5
4828,-113.712,26.44,2002MX-Bmu-00840,2002,5
4829,-114.019,26.638,2002MX-Bmu-00840,2002,5
4830,-113.982,26.244,2002MX-Bmu-00840,2002,5
4831,-113.321,26.108,2002MX-Bmu-00840,2002,5
4832,-114.214,25.912,2002MX-Bmu-00840,2002,5
4833,-113.315,26.717,2002MX-Bmu-00840,2002,5
4834,-113.751,26.609,2002MX-Bmu-00840,2002,5
4835,-113.417,26.048,2002MX-Bmu-00840,2002,5
4836,-113.768,26.417,2002MX-Bmu-00840,2002,5
4837,-113.616,26.212,2002MX-Bmu-00840,2002,5
4838,-113.69400000000002,26.297,2002MX-Bmu-00840,2002,5
4839,-113.849,26.258,2002MX-Bmu-00840,2002,5
4840,-113.659,26.322,2002MX-Bmu-00840,2002,5
4841,-113.362,26.194,2002MX-Bmu-00840,2002,5
4842,-113.961,26.819,2002MX-Bmu-00840,2002,5
4843,-113.876,26.451,2002MX-Bmu-00840,2002,5
4844,-113.813,26.458,2002MX-Bmu-00840,2002,6
4845,-113.788,26.366,2002MX-Bmu-00840,2002,6
4846,-114.483,26.536,2002MX-Bmu-00840,2002,6
4847,-113.87099999999998,26.45,2002MX-Bmu-00840,2002,6
4848,-114.236,26.153,2002MX-Bmu-00840,2002,6
4849,-113.54399999999998,26.259,2002MX-Bmu-00840,2002,6
4850,-113.72,26.197,2002MX-Bmu-00840,2002,6
4851,-113.75,26.3,2002MX-Bmu-00840,2002,6
4852,-113.679,26.392,2002MX-Bmu-00840,2002,6
4853,-113.648,26.159,2002MX-Bmu-00840,2002,6
4854,-113.749,26.353,2002MX-Bmu-00840,2002,6
4855,-113.52800000000002,26.331,2002MX-Bmu-00840,2002,6
4856,-114.23000000000002,26.55,2002MX-Bmu-00840,2002,6
4857,-113.93,26.071,2002MX-Bmu-00840,2002,6
4858,-113.793,26.398,2002MX-Bmu-00840,2002,6
4859,-113.68,26.245,2002MX-Bmu-00840,2002,6
4860,-113.378,26.692,2002MX-Bmu-00840,2002,6
4861,-113.737,26.441,2002MX-Bmu-00840,2002,6
4862,-113.667,26.442,2002MX-Bmu-00840,2002,6
4863,-113.661,26.403,2002MX-Bmu-00840,2002,6
4864,-113.66500000000002,26.331,2002MX-Bmu-00840,2002,6
4865,-114.06900000000002,26.371,2002MX-Bmu-00840,2002,6
4866,-113.87099999999998,26.32,2002MX-Bmu-00840,2002,6
4867,-114.075,26.261,2002MX-Bmu-00840,2002,6
4868,-113.405,26.134,2002MX-Bmu-00840,2002,6
4869,-113.635,26.252,2002MX-Bmu-00840,2002,6
4870,-113.808,26.334,2002MX-Bmu-00840,2002,6
4871,-113.834,26.65,2002MX-Bmu-00840,2002,6
4872,-114.45600000000002,26.229,2002MX-Bmu-00840,2002,6
4873,-114.211,26.708,2002MX-Bmu-00840,2002,6
4874,-113.631,26.517,2002MX-Bmu-00840,2002,6
4875,-113.845,26.474,2002MX-Bmu-00840,2002,6
4876,-113.231,26.676,2002MX-Bmu-00840,2002,6
4877,-113.913,26.54,2002MX-Bmu-00840,2002,6
4878,-113.803,26.598,2002MX-Bmu-00840,2002,6
4879,-113.85899999999998,26.386,2002MX-Bmu-00840,2002,6
4880,-113.674,26.602,2002MX-Bmu-00840,2002,6
4881,-114.329,26.812,2002MX-Bmu-00840,2002,6
4882,-114.147,26.75,2002MX-Bmu-00840,2002,6
4883,-114.413,26.78,2002MX-Bmu-00840,2002,6
4884,-114.201,26.668,2002MX-Bmu-00840,2002,6
4885,-114.16899999999998,26.822,2002MX-Bmu-00840,2002,6
4886,-114.478,26.919,2002MX-Bmu-00840,2002,6
4887,-114.20600000000002,27.008,2002MX-Bmu-00840,2002,6
4888,-114.659,25.986,2002MX-Bmu-00840,2002,6
4889,-114.084,26.713,2002MX-Bmu-00840,2002,6
4890,-113.655,26.483,2002MX-Bmu-00840,2002,6
4891,-113.95,26.72,2002MX-Bmu-00840,2002,6
4892,-113.973,26.712,2002MX-Bmu-00840,2002,6
4893,-113.99200000000002,26.76,2002MX-Bmu-00840,2002,6
4894,-113.941,26.819,2002MX-Bmu-00840,2002,6
4895,-114.322,26.832,2002MX-Bmu-00840,2002,6
4896,-113.98000000000002,26.679,2002MX-Bmu-00840,2002,6
4897,-113.95499999999998,26.207,2002MX-Bmu-00840,2002,7
4898,-113.755,26.483,2002MX-Bmu-00840,2002,7
4899,-114.40699999999998,27.084,2002MX-Bmu-00840,2002,7
4900,-114.344,27.001,2002MX-Bmu-00840,2002,7
4901,-115.47,27.57,2002MX-Bmu-00840,2002,7
4902,-114.999,27.632,2002MX-Bmu-00840,2002,7
4903,-115.16899999999998,27.717,2002MX-Bmu-00840,2002,7
4904,-115.459,27.872,2002MX-Bmu-00840,2002,7
4905,-115.541,27.9,2002MX-Bmu-00840,2002,7
4906,-115.56,27.953,2002MX-Bmu-00840,2002,7
4907,-115.42000000000002,28.11,2002MX-Bmu-00840,2002,7
4908,-115.911,28.071,2002MX-Bmu-00840,2002,7
4909,-115.50400000000002,27.657,2002MX-Bmu-00840,2002,7
4910,-114.827,27.903,2002MX-Bmu-00840,2002,7
4911,-115.337,27.993,2002MX-Bmu-00840,2002,7
4912,-115.506,27.943,2002MX-Bmu-00840,2002,7
4913,-115.451,27.719,2002MX-Bmu-00840,2002,7
4914,-116.111,28.188,2002MX-Bmu-00840,2002,7
4915,-115.276,27.764,2002MX-Bmu-00840,2002,7
4916,-115.499,27.229,2002MX-Bmu-00840,2002,7
4917,-114.465,27.169,2002MX-Bmu-00840,2002,7
4918,-115.123,27.691,2002MX-Bmu-00840,2002,7
4919,-115.201,27.727,2002MX-Bmu-00840,2002,7
4920,-115.162,27.712,2002MX-Bmu-00840,2002,7
4921,-115.672,27.784,2002MX-Bmu-00840,2002,7
4922,-115.38,27.978,2002MX-Bmu-00840,2002,7
4923,-115.741,28.058,2002MX-Bmu-00840,2002,7
4924,-114.297,28.133,2002MX-Bmu-00840,2002,7
4925,-115.101,27.973,2002MX-Bmu-00840,2002,7
4926,-116.035,28.016,2002MX-Bmu-00840,2002,7
4927,-115.497,28.081,2002MX-Bmu-00840,2002,7
4928,-115.429,28.23,2002MX-Bmu-00840,2002,7
4929,-115.45600000000002,28.167,2002MX-Bmu-00840,2002,7
4930,-117.598,26.808,2002MX-Bmu-00840,2002,7
4931,-115.378,27.84,2002MX-Bmu-00840,2002,7
4932,-115.22899999999998,27.924,2002MX-Bmu-00840,2002,7
4933,-115.10899999999998,27.815,2002MX-Bmu-00840,2002,7
4934,-115.41899999999998,27.705,2002MX-Bmu-00840,2002,7
4935,-115.274,27.702,2002MX-Bmu-00840,2002,7
4936,-116.482,27.467,2002MX-Bmu-00840,2002,7
4937,-115.459,27.684,2002MX-Bmu-00840,2002,7
4938,-115.118,27.66,2002MX-Bmu-00840,2002,7
4939,-115.095,27.576,2002MX-Bmu-00840,2002,7
4940,-115.142,27.373,2002MX-Bmu-00840,2002,7
4941,-115.789,27.636,2002MX-Bmu-00840,2002,7
4942,-114.952,27.665,2002MX-Bmu-00840,2002,7
4943,-115.195,27.703,2002MX-Bmu-00840,2002,7
4944,-115.128,27.69,2002MX-Bmu-00840,2002,7
4945,-115.027,27.719,2002MX-Bmu-00840,2002,7
4946,-115.00799999999998,27.226,2002MX-Bmu-00840,2002,7
4947,-114.753,27.291,2002MX-Bmu-00840,2002,7
4948,-114.725,27.218,2002MX-Bmu-00840,2002,7
4949,-114.869,27.515,2002MX-Bmu-00840,2002,7
4950,-114.75799999999998,27.313,2002MX-Bmu-00840,2002,7
4951,-114.846,27.202,2002MX-Bmu-00840,2002,7
4952,-114.888,27.459,2002MX-Bmu-00840,2002,7
4953,-114.78300000000002,27.457,2002MX-Bmu-00840,2002,7
4954,-114.784,27.56,2002MX-Bmu-00840,2002,7
4955,-114.869,27.473,2002MX-Bmu-00840,2002,7
4956,-114.666,27.495,2002MX-Bmu-00840,2002,7
4957,-115.348,27.096,2002MX-Bmu-00840,2002,7
4958,-114.821,27.54,2002MX-Bmu-00840,2002,7
4959,-114.77100000000002,27.359,2002MX-Bmu-00840,2002,7
4960,-115.15800000000002,27.567,2002MX-Bmu-00840,2002,7
4961,-114.978,27.712,2002MX-Bmu-00840,2002,7
4962,-115.509,27.823,2002MX-Bmu-00840,2002,7
4963,-115.39600000000002,27.853,2002MX-Bmu-00840,2002,7
4964,-115.44299999999998,27.868,2002MX-Bmu-00840,2002,7
4965,-115.648,27.921,2002MX-Bmu-00840,2002,7
4966,-115.422,27.963,2002MX-Bmu-00840,2002,7
4967,-115.265,27.687,2002MX-Bmu-00840,2002,8
4968,-115.261,27.734,2002MX-Bmu-00840,2002,8
4969,-115.358,27.734,2002MX-Bmu-00840,2002,8
4970,-115.268,27.238,2002MX-Bmu-00840,2002,8
4971,-115.385,27.828,2002MX-Bmu-00840,2002,8
4972,-115.952,28.063,2002MX-Bmu-00840,2002,8
4973,-115.393,27.932,2002MX-Bmu-00840,2002,8
4974,-115.684,27.96,2002MX-Bmu-00840,2002,8
4975,-115.539,27.927,2002MX-Bmu-00840,2002,8
4976,-116.263,27.555,2002MX-Bmu-00840,2002,8
4977,-115.497,27.883,2002MX-Bmu-00840,2002,8
4978,-115.748,27.977,2002MX-Bmu-00840,2002,8
4979,-115.59,28.033,2002MX-Bmu-00840,2002,8
4980,-115.56,28.025,2002MX-Bmu-00840,2002,8
4981,-115.537,28.099,2002MX-Bmu-00840,2002,8
4982,-115.616,28.112,2002MX-Bmu-00840,2002,8
4983,-114.921,27.967,2002MX-Bmu-00840,2002,8
4984,-115.64,28.285,2002MX-Bmu-00840,2002,8
4985,-116.45600000000002,28.518,2002MX-Bmu-00840,2002,8
4986,-115.436,28.099,2002MX-Bmu-00840,2002,8
4987,-115.498,28.081,2002MX-Bmu-00840,2002,8
4988,-115.197,27.699,2002MX-Bmu-00840,2002,8
4989,-115.502,27.931,2002MX-Bmu-00840,2002,8
4990,-115.59300000000002,27.89,2002MX-Bmu-00840,2002,8
4991,-115.22199999999998,28.013,2002MX-Bmu-00840,2002,8
4992,-115.55700000000002,27.879,2002MX-Bmu-00840,2002,8
4993,-115.487,27.97,2002MX-Bmu-00840,2002,8
4994,-115.45999999999998,28.032,2002MX-Bmu-00840,2002,8
4995,-115.64499999999998,27.805,2002MX-Bmu-00840,2002,8
4996,-115.66,28.223,2002MX-Bmu-00840,2002,8
4997,-115.591,28.014,2002MX-Bmu-00840,2002,8
4998,-115.491,28.066,2002MX-Bmu-00840,2002,8
4999,-115.611,27.953,2002MX-Bmu-00840,2002,8
5000,-115.721,27.964,2002MX-Bmu-00840,2002,8
5001,-115.912,28.033,2002MX-Bmu-00840,2002,8
5002,-115.458,27.981,2002MX-Bmu-00840,2002,8
5003,-115.697,28.161,2002MX-Bmu-00840,2002,8
5004,-116.37900000000002,28.17,2002MX-Bmu-00840,2002,8
5005,-115.61700000000002,27.914,2002MX-Bmu-00840,2002,8
5006,-115.452,28.343,2002MX-Bmu-00840,2002,8
5007,-118.566,27.87,2002MX-Bmu-00840,2002,8
5008,-115.559,27.855,2002MX-Bmu-00840,2002,8
5009,-115.423,27.789,2002MX-Bmu-00840,2002,8
5010,-115.571,27.863,2002MX-Bmu-00840,2002,8
5011,-116.122,27.785,2002MX-Bmu-00840,2002,8
5012,-115.462,28.111,2002MX-Bmu-00840,2002,8
5013,-115.687,27.828,2002MX-Bmu-00840,2002,8
5014,-115.933,27.836,2002MX-Bmu-00840,2002,8
5015,-115.485,27.902,2002MX-Bmu-00840,2002,8
5016,-115.538,27.927,2002MX-Bmu-00840,2002,8
5017,-115.603,27.788,2002MX-Bmu-00840,2002,8
5018,-115.643,28.301,2002MX-Bmu-00840,2002,8
5019,-115.501,27.922,2002MX-Bmu-00840,2002,8
5020,-115.963,27.666,2002MX-Bmu-00840,2002,8
5021,-116.72,26.2,2002MX-Bmu-00840,2002,8
5022,-115.929,28.042,2002MX-Bmu-00840,2002,8
5023,-115.195,27.84,2002MX-Bmu-00840,2002,8
5024,-115.378,27.72,2002MX-Bmu-00840,2002,8
5025,-115.452,27.724,2002MX-Bmu-00840,2002,8
5026,-115.12900000000002,27.697,2002MX-Bmu-00840,2002,8
5027,-115.292,27.757,2002MX-Bmu-00840,2002,8
5028,-115.062,27.927,2002MX-Bmu-00840,2002,8
5029,-115.599,27.826,2002MX-Bmu-00840,2002,8
5030,-115.481,28.029,2002MX-Bmu-00840,2002,8
5031,-115.262,27.541,2002MX-Bmu-00840,2002,8
5032,-115.22199999999998,28.179,2002MX-Bmu-00840,2002,8
5033,-115.321,27.705,2002MX-Bmu-00840,2002,8
5034,-114.80200000000002,28.027,2002MX-Bmu-00840,2002,8
5035,-115.1,27.972,2002MX-Bmu-00840,2002,8
5036,-115.578,27.938,2002MX-Bmu-00840,2002,8
5037,-114.72899999999998,28.71,2002MX-Bmu-00840,2002,9
5038,-115.987,28.069,2002MX-Bmu-00840,2002,9
5039,-115.386,28.097,2002MX-Bmu-00840,2002,9
5040,-116.04399999999998,28.198,2002MX-Bmu-00840,2002,9
5041,-115.324,28.308,2002MX-Bmu-00840,2002,9
5042,-115.591,28.175,2002MX-Bmu-00840,2002,9
5043,-115.686,28.148,2002MX-Bmu-00840,2002,9
5044,-115.192,28.551,2002MX-Bmu-00840,2002,9
5045,-115.352,28.224,2002MX-Bmu-00840,2002,9
5046,-115.676,28.204,2002MX-Bmu-00840,2002,9
5047,-115.962,28.089,2002MX-Bmu-00840,2002,9
5048,-115.40800000000002,27.922,2002MX-Bmu-00840,2002,9
5049,-116.852,29.47,2002MX-Bmu-00840,2002,9
5050,-115.47899999999998,27.861,2002MX-Bmu-00840,2002,9
5051,-115.446,27.795,2002MX-Bmu-00840,2002,9
5052,-115.844,27.818,2002MX-Bmu-00840,2002,9
5053,-115.924,27.998,2002MX-Bmu-00840,2002,9
5054,-116.131,27.911,2002MX-Bmu-00840,2002,9
5055,-115.539,28.158,2002MX-Bmu-00840,2002,9
5056,-115.28199999999998,27.849,2002MX-Bmu-00840,2002,9
5057,-115.99200000000002,28.125,2002MX-Bmu-00840,2002,9
5058,-115.59199999999998,27.893,2002MX-Bmu-00840,2002,9
5059,-115.776,28.106,2002MX-Bmu-00840,2002,9
5060,-115.611,28.122,2002MX-Bmu-00840,2002,9
5061,-116.019,27.874,2002MX-Bmu-00840,2002,9
5062,-115.59199999999998,28.325,2002MX-Bmu-00840,2002,9
5063,-115.16500000000002,28.102,2002MX-Bmu-00840,2002,9
5064,-116.56799999999998,29.77,2002MX-Bmu-00840,2002,9
5065,-117.699,26.562,2002MX-Bmu-00840,2002,9
5066,-115.57299999999998,28.099,2002MX-Bmu-00840,2002,9
5067,-117.602,28.302,2002MX-Bmu-00840,2002,9
5068,-116.148,28.166,2002MX-Bmu-00840,2002,9
5069,-114.577,28.534,2002MX-Bmu-00840,2002,9
5070,-116.10500000000002,27.613,2002MX-Bmu-00840,2002,9
5071,-115.719,28.357,2002MX-Bmu-00840,2002,9
5072,-115.043,27.954,2002MX-Bmu-00840,2002,9
5073,-115.75400000000002,28.087,2002MX-Bmu-00840,2002,9
5074,-115.886,28.377,2002MX-Bmu-00840,2002,9
5075,-115.764,28.231,2002MX-Bmu-00840,2002,9
5076,-115.574,27.989,2002MX-Bmu-00840,2002,9
5077,-116.01,27.915,2002MX-Bmu-00840,2002,9
5078,-114.83100000000002,28.113,2002MX-Bmu-00840,2002,9
5079,-115.531,28.121,2002MX-Bmu-00840,2002,9
5080,-115.514,28.063,2002MX-Bmu-00840,2002,9
5081,-115.55599999999998,27.92,2002MX-Bmu-00840,2002,9
5082,-115.511,28.044,2002MX-Bmu-00840,2002,9
5083,-116.623,27.431,2002MX-Bmu-00840,2002,9
5084,-115.45600000000002,27.77,2002MX-Bmu-00840,2002,9
5085,-115.599,27.744,2002MX-Bmu-00840,2002,9
5086,-115.981,27.793,2002MX-Bmu-00840,2002,9
5087,-115.976,27.866,2002MX-Bmu-00840,2002,9
5088,-115.402,28.154,2002MX-Bmu-00840,2002,9
5089,-115.313,27.503,2002MX-Bmu-00840,2002,9
5090,-115.644,27.972,2002MX-Bmu-00840,2002,9
5091,-115.4,27.881,2002MX-Bmu-00840,2002,9
5092,-115.221,27.901,2002MX-Bmu-00840,2002,9
5093,-115.811,28.147,2002MX-Bmu-00840,2002,9
5094,-114.9,28.273,2002MX-Bmu-00840,2002,10
