,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier,time,year,month
1579,-120.305,34.102,34.102,30.014,-120.305,-139.94,1999CA-Bmu-00830,03:51:11,1999,7
1580,-119.675,33.99,33.99,27.292,-119.675,-151.308,1999CA-Bmu-00830,00:02:46,1999,7
1581,-120.424,33.862,33.862,32.092,-120.424,-129.404,1999CA-Bmu-00830,03:25:51,1999,7
1582,-120.652,34.254,34.254,32.405,-120.652,-114.812,1999CA-Bmu-00830,15:44:25,1999,7
1583,-119.829,34.125,34.125,37.145,-119.829,-134.311,1999CA-Bmu-00830,12:20:58,1999,7
1584,-119.80700000000002,34.107,34.107,31.337,-119.807,-106.133,1999CA-Bmu-00830,15:27:59,1999,7
1585,-119.939,34.105,34.105,29.749,-119.939,-140.404,1999CA-Bmu-00830,23:41:11,1999,7
1586,-119.83499999999998,34.121,34.121,36.01,-119.835,-128.913,1999CA-Bmu-00830,12:10:31,1999,7
1587,-119.816,34.123,34.123,38.764,-119.816,-143.37,1999CA-Bmu-00830,16:46:37,1999,7
1588,-119.72,34.081,34.081,31.257,-119.72,-106.555,1999CA-Bmu-00830,17:14:33,1999,7
1589,-120.041,34.307,34.307,30.253,-120.041,-135.704,1999CA-Bmu-00830,23:35:43,1999,7
1590,-118.725,34.027,34.027,34.977,-118.725,-123.899,1999CA-Bmu-00830,12:01:22,1999,7
1591,-120.252,34.223,34.223,34.512,-120.252,-121.673,1999CA-Bmu-00830,16:01:09,1999,7
1592,-119.945,34.123,34.123,33.194,-119.945,-124.55,1999CA-Bmu-00830,03:16:27,1999,7
1593,-119.878,34.146,34.146,38.234,-119.878,-100.157,1999CA-Bmu-00830,04:10:52,1999,7
1594,-122.99200000000002,33.455,33.455,29.329,-122.992,-108.105,1999CA-Bmu-00830,15:33:49,1999,7
1595,-119.921,34.171,34.171,26.876,-119.921,-86.878,1999CA-Bmu-00830,16:34:52,1999,7
1596,-119.83499999999998,34.252,34.252,42.415,-119.835,-159.658,1999CA-Bmu-00830,17:14:33,1999,7
1597,-120.08100000000002,33.965,33.965,40.6,-120.081,-85.638,1999CA-Bmu-00830,23:59:26,1999,7
1598,-117.31799999999998,31.44,31.44,28.924,-117.318,-104.226,1999CA-Bmu-00830,15:21:29,1999,7
1599,-119.753,34.34,34.34,26.196,-119.753,-82.211,1999CA-Bmu-00830,16:24:36,1999,7
1600,-121.20600000000002,34.388,34.388,39.472,-121.206,-147.095,1999CA-Bmu-00830,16:58:43,1999,7
1601,-119.912,34.12,34.12,37.895,-119.912,-138.24,1999CA-Bmu-00830,16:31:14,1999,7
1602,-120.042,34.1,34.1,29.959,-120.042,-140.489,1999CA-Bmu-00830,03:48:35,1999,7
1603,-120.09300000000002,34.132,34.132,27.586,-120.093,-150.112,1999CA-Bmu-00830,00:05:11,1999,8
1604,-120.074,34.103,34.103,43.127,-120.074,-75.589,1999CA-Bmu-00830,03:23:01,1999,8
1605,-119.95,34.155,34.155,31.905,-119.95,-130.13,1999CA-Bmu-00830,03:29:57,1999,8
1606,-119.788,34.2,34.2,28.071,-119.788,-89.315,1999CA-Bmu-00830,12:56:33,1999,8
1607,-120.12099999999998,34.165,34.165,33.486,-120.121,-116.752,1999CA-Bmu-00830,15:51:05,1999,8
1608,-120.655,34.175,34.175,36.76,-120.655,-132.383,1999CA-Bmu-00830,12:18:51,1999,8
1609,-120.813,34.348,34.348,30.928,-120.813,-104.773,1999CA-Bmu-00830,17:14:11,1999,8
1610,-121.24,34.287,34.287,30.701,-121.24,-138.27,1999CA-Bmu-00830,23:40:11,1999,8
1611,-122.34,33.734,33.734,37.585,-122.34,-141.507,1999CA-Bmu-00830,16:46:50,1999,8
1612,-122.40699999999998,33.714,33.714,29.336,-122.407,-143.688,1999CA-Bmu-00830,04:03:08,1999,8
1613,-122.385,33.603,33.603,35.353,-122.385,-131.013,1999CA-Bmu-00830,16:24:11,1999,8
1614,-122.434,33.47,33.47,32.741,-122.434,-125.891,1999CA-Bmu-00830,23:17:33,1999,8
