,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier,time,year,month
5662,-119.902,34.189,34.189,28.616,-119.902,-147.57,2004CA-Bmu-01389,02:56:28,2004,8
5663,-119.666,34.17,34.17,37.056,-119.666,-134.557,2004CA-Bmu-01389,15:20:37,2004,8
5664,-120.752,34.403,34.403,33.627,-120.752,-124.539,2004CA-Bmu-01389,02:09:16,2004,8
5665,-120.507,34.006,34.006,39.471,-120.507,-147.927,2004CA-Bmu-01389,15:45:37,2004,8
5666,-119.905,33.605,33.605,38.435,-119.905,-96.871,2004CA-Bmu-01389,02:50:58,2004,8
5667,-119.436,33.743,33.743,32.008,-119.436,-127.843,2004CA-Bmu-01389,02:16:50,2004,8
5668,-120.458,34.333,34.333,32.433,-120.458,-110.686,2004CA-Bmu-01389,12:54:59,2004,8
5669,-125.142,34.053,34.053,34.961,-125.142,-120.236,2004CA-Bmu-01389,02:05:29,2004,9
5670,-123.775,33.472,33.472,34.14,-123.775,-120.838,2004CA-Bmu-01389,02:05:46,2004,9
5671,-121.036,34.229,34.229,37.163,-121.036,-134.842,2004CA-Bmu-01389,15:19:38,2004,9
5672,-121.084,34.242,34.242,30.861,-121.084,-137.449,2004CA-Bmu-01389,02:37:19,2004,9
5673,-121.101,34.263,34.263,26.056,-121.101,-159.917,2004CA-Bmu-01389,23:26:53,2004,9
5674,-120.809,34.455,34.455,37.511,-120.809,-105.631,2004CA-Bmu-01389,23:53:07,2004,9
5675,-120.918,34.681,34.681,30.463,-120.918,-140.714,2004CA-Bmu-01389,02:43:36,2004,9
5676,-120.924,35.225,35.225,36.273,-120.924,-126.237,2004CA-Bmu-01389,15:02:15,2004,9
5677,-121.501,35.637,35.637,34.217,-121.501,-129.692,2004CA-Bmu-01389,02:13:50,2004,9
5678,-122.505,37.015,37.015,45.533,-122.505,-165.67,2004CA-Bmu-01389,12:37:47,2004,9
5679,-122.756,36.952,36.952,41.543,-122.756,-148.219,2004CA-Bmu-01389,15:57:40,2004,9
5680,-122.85,37.113,37.113,26.343,-122.85,-174.882,2004CA-Bmu-01389,23:58:30,2004,9
5681,-122.901,37.335,37.335,40.109,-122.901,-137.32,2004CA-Bmu-01389,15:30:51,2004,9
5682,-123.015,37.39,37.39,27.679,-123.015,-169.605,2004CA-Bmu-01389,23:48:53,2004,9
5683,-122.936,37.289,37.289,46.488,-122.936,-77.829,2004CA-Bmu-01389,02:20:30,2004,9
5684,-122.89600000000002,37.287,37.287,33.411,-122.896,-142.675,2004CA-Bmu-01389,02:44:44,2004,9
5685,-122.892,37.394,37.394,46.905,-122.892,-172.102,2004CA-Bmu-01389,15:06:15,2004,9
5686,-122.786,37.475,37.475,45.242,-122.786,-82.847,2004CA-Bmu-01389,23:07:07,2004,9
5687,-122.83100000000002,37.331,37.331,47.6,-122.831,-71.267,2004CA-Bmu-01389,02:05:31,2004,10
5688,-122.92700000000002,37.404,37.404,35.596,-122.927,-131.879,2004CA-Bmu-01389,02:24:33,2004,10
5689,-122.716,37.416,37.416,42.645,-122.716,-149.112,2004CA-Bmu-01389,12:03:42,2004,10
5690,-122.962,37.481,37.481,29.048,-122.962,-159.568,2004CA-Bmu-01389,23:28:53,2004,10
5691,-123.156,37.395,37.395,37.965,-123.156,-120.439,2004CA-Bmu-01389,02:02:17,2004,10
5692,-122.973,37.404,37.404,31.079,-122.973,-153.01,2004CA-Bmu-01389,23:13:23,2004,10
5693,-122.95499999999998,37.699,37.699,40.833,-122.955,-139.142,2004CA-Bmu-01389,15:34:58,2004,10
5694,-122.905,37.461,37.461,30.601,-122.905,-91.545,2004CA-Bmu-01389,15:40:38,2004,10
5695,-123.101,37.492,37.492,31.673,-123.101,-148.227,2004CA-Bmu-01389,23:05:16,2004,10
5696,-122.909,37.381,37.381,32.83,-122.909,-145.423,2004CA-Bmu-01389,02:53:17,2004,10
5697,-122.735,37.806,37.806,38.939,-122.735,-128.113,2004CA-Bmu-01389,15:08:07,2004,10
5698,-123.384,38.466,38.466,36.406,-123.384,-135.106,2004CA-Bmu-01389,02:29:33,2004,10
5699,-123.969,39.153,39.153,46.501,-123.969,-88.738,2004CA-Bmu-01389,02:45:11,2004,10
