location-long,location-lat,individual-local-identifier,year,month
-114.66500000000002,28.117,1994CA-Bmu-10828,1994,10
-114.701,28.278,1994CA-Bmu-10828,1994,10
-114.755,28.296,1994CA-Bmu-10828,1994,10
-115.19400000000002,28.653,1994CA-Bmu-10828,1994,10
-115.3,28.629,1994CA-Bmu-10828,1994,10
-114.959,28.388,1994CA-Bmu-10828,1994,10
-114.168,28.174,1994CA-Bmu-10828,1994,10
-114.89600000000002,28.261,1994CA-Bmu-10828,1994,10
-115.03,28.135,1994CA-Bmu-10828,1994,10
-114.934,28.143,1994CA-Bmu-10828,1994,10
-114.49200000000002,27.895,1994CA-Bmu-10828,1994,10
-114.904,27.943,1994CA-Bmu-10828,1994,10
-114.821,28.201,1994CA-Bmu-10828,1994,10
-115.816,28.491,1994CA-Bmu-10828,1994,10
-115.24599999999998,28.541,1994CA-Bmu-10828,1994,10
-120.171,34.191,1994CA-Bmu-10829,1994,9
-120.038,34.112,1994CA-Bmu-10829,1994,9
-120.08499999999998,34.102,1994CA-Bmu-10829,1994,9
-120.07299999999998,34.091,1994CA-Bmu-10829,1994,9
-119.945,34.119,1994CA-Bmu-10829,1994,9
-119.902,34.037,1994CA-Bmu-10829,1994,9
-120.19299999999998,34.013,1994CA-Bmu-10829,1994,9
-119.86700000000002,34.083,1994CA-Bmu-10829,1994,9
-120.055,34.133,1994CA-Bmu-10829,1994,9
-120.025,34.126,1994CA-Bmu-10829,1994,9
-120.07299999999998,34.067,1994CA-Bmu-10829,1994,9
-120.043,34.062,1994CA-Bmu-10829,1994,9
-120.066,34.116,1994CA-Bmu-10829,1994,9
-120.321,34.111,1994CA-Bmu-10829,1994,9
-120.233,33.986,1994CA-Bmu-10829,1994,9
-120.328,33.737,1994CA-Bmu-10829,1994,9
-120.286,34.182,1994CA-Bmu-10829,1994,9
-120.348,34.153,1994CA-Bmu-10829,1994,9
-120.50799999999998,33.986,1994CA-Bmu-10829,1994,9
-120.451,34.048,1994CA-Bmu-10829,1994,9
-119.773,34.11,1994CA-Bmu-23029,1994,10
-120.23000000000002,34.128,1994CA-Bmu-23029,1994,10
-120.25,34.113,1994CA-Bmu-23029,1994,10
-120.298,34.107,1994CA-Bmu-23029,1994,10
-120.362,34.119,1994CA-Bmu-23029,1994,10
-120.459,34.149,1994CA-Bmu-23029,1994,10
-120.995,34.194,1994CA-Bmu-23029,1994,10
-121.098,34.275,1994CA-Bmu-23029,1994,10
-119.94,34.29,1995CA-Bmu-00837,1995,9
-120.16,34.221,1995CA-Bmu-00837,1995,9
-120.394,34.279,1995CA-Bmu-00837,1995,9
-120.934,34.263,1995CA-Bmu-00837,1995,9
-121.007,34.179,1995CA-Bmu-00837,1995,9
-120.51,34.169,1995CA-Bmu-00837,1995,9
-120.55,33.94,1995CA-Bmu-00837,1995,9
-120.35399999999998,33.836,1995CA-Bmu-00837,1995,9
-120.22199999999998,33.64,1995CA-Bmu-00837,1995,9
-120.365,33.924,1995CA-Bmu-00837,1995,9
-120.67700000000002,34.111,1995CA-Bmu-00837,1995,9
-120.767,34.064,1995CA-Bmu-00837,1995,9
-120.834,34.146,1995CA-Bmu-00837,1995,9
-120.566,34.141,1995CA-Bmu-00837,1995,9
-120.574,34.002,1995CA-Bmu-00837,1995,9
-120.542,34.023,1995CA-Bmu-00837,1995,9
-120.83100000000002,33.99,1995CA-Bmu-00837,1995,9
-120.684,34.039,1995CA-Bmu-00837,1995,9
-120.65300000000002,33.527,1995CA-Bmu-00837,1995,9
-120.493,33.503,1995CA-Bmu-00837,1995,9
-119.995,33.415,1995CA-Bmu-00837,1995,9
-119.17000000000002,32.996,1995CA-Bmu-00837,1995,9
-119.436,33.052,1995CA-Bmu-00837,1995,9
-119.36,33.093,1995CA-Bmu-00837,1995,9
-119.304,33.139,1995CA-Bmu-00837,1995,9
-121.54000000000002,32.501,1995CA-Bmu-00837,1995,9
-119.22199999999998,33.105,1995CA-Bmu-00837,1995,9
-120.95999999999998,33.794,1995CA-Bmu-00837,1995,9
-118.03300000000002,33.289,1995CA-Bmu-00837,1995,9
-119.412,32.956,1995CA-Bmu-00837,1995,9
-119.59,33.177,1995CA-Bmu-00837,1995,9
-119.803,33.222,1995CA-Bmu-00837,1995,9
-119.44,33.19,1995CA-Bmu-00837,1995,9
-122.05599999999998,33.2,1995CA-Bmu-00837,1995,9
-119.111,33.146,1995CA-Bmu-00837,1995,9
-119.099,33.162,1995CA-Bmu-00837,1995,9
-119.287,32.946,1995CA-Bmu-00837,1995,9
-119.107,32.807,1995CA-Bmu-00837,1995,9
