,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier,time,year,month
5781,-123.311,38.264,38.264,34.596,-123.311,-141.233,2004CA-Bmu-04175,02:46:25,2004,8
5782,-123.30700000000002,38.242,38.242,36.995,-123.307,-129.879,2004CA-Bmu-04175,02:21:36,2004,8
5783,-123.43200000000002,38.406,38.406,46.501,-123.432,-164.317,2004CA-Bmu-04175,12:32:25,2004,8
5784,-123.126,38.202,38.202,44.329,-123.126,-153.501,2004CA-Bmu-04175,12:09:51,2004,8
5785,-123.175,38.204,38.204,34.685,-123.175,-105.535,2004CA-Bmu-04175,12:51:16,2004,8
5786,-123.248,38.213,38.213,41.15,-123.248,-135.993,2004CA-Bmu-04175,15:29:05,2004,8
5787,-123.37099999999998,38.191,38.191,34.245,-123.371,-143.615,2004CA-Bmu-04175,02:48:51,2004,8
5788,-123.317,38.107,38.107,42.543,-123.317,-100.524,2004CA-Bmu-04175,23:42:02,2004,8
5789,-123.389,38.079,38.079,36.263,-123.389,-132.474,2004CA-Bmu-04175,02:26:07,2004,8
5790,-123.519,38.016,38.016,31.812,-123.519,-152.867,2004CA-Bmu-04175,23:11:43,2004,8
5791,-123.507,38.05,38.05,44.852,-123.507,-88.725,2004CA-Bmu-04175,23:20:45,2004,8
5792,-124.138,38.207,38.207,34.541,-124.138,-105.548,2004CA-Bmu-04175,12:54:30,2004,8
5793,-123.39600000000002,38.291,38.291,33.662,-123.396,-146.31,2004CA-Bmu-04175,02:57:37,2004,8
5794,-123.116,38.021,38.021,38.911,-123.116,-128.42,2004CA-Bmu-04175,15:18:02,2004,8
5795,-123.48399999999998,38.043,38.043,35.356,-123.484,-135.348,2004CA-Bmu-04175,02:32:11,2004,9
5796,-123.524,38.024,38.024,29.833,-123.524,-82.766,2004CA-Bmu-04175,12:02:49,2004,9
5797,-123.518,38.119,38.119,32.144,-123.518,-95.908,2004CA-Bmu-04175,15:46:30,2004,9
5798,-123.985,37.995,37.995,45.135,-123.985,-88.447,2004CA-Bmu-04175,23:23:50,2004,9
5799,-123.964,37.959,37.959,38.05,-123.964,-123.461,2004CA-Bmu-04175,02:10:19,2004,9
5800,-123.341,38.28,38.28,29.831,-123.341,-83.173,2004CA-Bmu-04175,15:23:26,2004,9
5801,-123.739,38.822,38.822,33.084,-123.739,-94.623,2004CA-Bmu-04175,12:30:12,2004,9
5802,-124.663,39.391,39.391,40.365,-124.663,-127.96,2004CA-Bmu-04175,15:14:45,2004,9
5803,-123.899,38.946,38.946,42.868,-123.899,-102.548,2004CA-Bmu-04175,23:43:02,2004,9
5804,-123.887,39.0,39.0,36.208,-123.887,-137.993,2004CA-Bmu-04175,02:37:05,2004,9
5805,-124.027,39.713,39.713,32.604,-124.027,-157.438,2004CA-Bmu-04175,23:22:34,2004,9
5806,-124.043,39.705,39.705,39.156,-124.043,-126.888,2004CA-Bmu-04175,02:14:35,2004,9
5807,-124.082,39.853,39.853,33.983,-124.082,-152.097,2004CA-Bmu-04175,23:10:12,2004,9
5808,-124.281,40.124,40.124,36.238,-124.281,-105.89,2004CA-Bmu-04175,12:51:55,2004,9
5809,-124.465,40.011,40.011,43.552,-124.465,-143.27,2004CA-Bmu-04175,15:50:00,2004,9
5810,-124.17700000000002,40.03,40.03,44.175,-124.177,-103.152,2004CA-Bmu-04175,23:49:34,2004,9
5811,-124.171,39.945,39.945,36.787,-124.171,-141.286,2004CA-Bmu-04175,02:44:38,2004,9
5812,-124.236,40.136,40.136,49.547,-124.236,-170.87,2004CA-Bmu-04175,12:47:43,2004,9
5813,-124.538,40.13,40.13,39.38,-124.538,-120.631,2004CA-Bmu-04175,15:02:17,2004,9
5814,-124.179,40.033,40.033,46.678,-124.179,-92.01,2004CA-Bmu-04175,23:24:35,2004,9
5815,-124.477,40.238,40.238,45.013,-124.477,-99.827,2004CA-Bmu-04175,02:56:59,2004,9
5816,-124.647,40.516,40.516,47.374,-124.647,-159.012,2004CA-Bmu-04175,12:26:10,2004,9
5817,-124.65300000000002,40.502,40.502,36.654,-124.653,-105.786,2004CA-Bmu-04175,12:54:13,2004,9
5818,-124.39499999999998,40.482,40.482,44.479,-124.395,-145.732,2004CA-Bmu-04175,15:54:54,2004,9
5819,-124.498,40.608,40.608,46.838,-124.498,-93.386,2004CA-Bmu-04175,02:47:54,2004,9
5820,-124.48399999999998,40.647,40.647,46.444,-124.484,-153.456,2004CA-Bmu-04175,12:15:24,2004,9
5821,-124.524,40.633,40.633,34.411,-124.524,-94.407,2004CA-Bmu-04175,12:28:11,2004,9
5822,-124.55,40.619,40.619,42.233,-124.55,-133.643,2004CA-Bmu-04175,15:28:50,2004,9
5823,-124.399,40.727,40.727,31.684,-124.399,-167.206,2004CA-Bmu-04175,23:43:08,2004,9
5824,-124.522,40.661,40.661,44.709,-124.522,-103.971,2004CA-Bmu-04175,23:51:30,2004,9
5825,-124.462,40.614,40.614,36.745,-124.462,-143.961,2004CA-Bmu-04175,02:50:35,2004,9
5826,-124.522,40.604,40.604,45.191,-124.522,-147.917,2004CA-Bmu-04175,12:05:08,2004,9
5827,-124.503,40.708,40.708,32.842,-124.503,-161.588,2004CA-Bmu-04175,23:32:05,2004,9
5828,-124.437,40.597,40.597,49.193,-124.437,-81.01,2004CA-Bmu-04175,02:21:47,2004,9
5829,-124.583,40.585,40.585,39.065,-124.583,-132.243,2004CA-Bmu-04175,02:29:27,2004,9
5830,-124.74200000000002,40.586,40.586,48.339,-124.742,-165.767,2004CA-Bmu-04175,15:01:33,2004,9
5831,-124.529,40.599,40.599,34.059,-124.529,-156.4,2004CA-Bmu-04175,23:19:44,2004,9
5832,-124.595,40.645,40.645,41.327,-124.595,-121.133,2004CA-Bmu-04175,02:05:03,2004,9
5833,-124.503,40.612,40.612,37.004,-124.503,-106.686,2004CA-Bmu-04175,12:55:40,2004,9
5834,-124.46800000000002,40.623,40.623,45.275,-124.468,-148.261,2004CA-Bmu-04175,15:57:12,2004,9
5835,-124.89100000000002,40.377,40.377,35.158,-124.891,-151.235,2004CA-Bmu-04175,23:03:50,2004,9
5836,-124.497,40.631,40.631,34.507,-124.497,-95.216,2004CA-Bmu-04175,12:29:38,2004,9
5837,-124.55700000000002,40.708,40.708,0.599,-124.557,-0.471,2004CA-Bmu-04175,15:34:30,2004,9
5838,-124.42700000000002,40.723,40.723,44.429,-124.427,-104.946,2004CA-Bmu-04175,23:51:28,2004,9
5839,-124.502,40.699,40.699,36.4,-124.502,-146.475,2004CA-Bmu-04175,02:55:11,2004,9
5840,-124.52100000000002,40.524,40.524,32.236,-124.521,-83.323,2004CA-Bmu-04175,12:07:16,2004,9
5841,-124.70600000000002,40.591,40.591,50.225,-124.706,-173.972,2004CA-Bmu-04175,12:56:42,2004,9
5842,-124.276,40.94,40.94,40.942,-124.276,-124.266,2004CA-Bmu-04175,02:06:52,2004,9
5843,-124.402,40.918,40.918,30.355,-124.402,-176.856,2004CA-Bmu-04175,02:25:40,2004,9
5844,-124.34199999999998,41.138,41.138,48.705,-124.342,-162.861,2004CA-Bmu-04175,12:36:03,2004,9
5845,-124.436,40.975,40.975,47.342,-124.436,-92.673,2004CA-Bmu-04175,02:48:01,2004,9
5846,-124.327,41.303,41.303,35.592,-124.327,-95.221,2004CA-Bmu-04175,12:36:04,2004,9
5847,-124.366,41.346,41.346,44.149,-124.366,-139.272,2004CA-Bmu-04175,15:42:08,2004,9
5848,-124.257,41.148,41.148,48.833,-124.257,-86.524,2004CA-Bmu-04175,02:34:54,2004,9
5849,-124.69,41.645,41.645,46.624,-124.69,-150.547,2004CA-Bmu-04175,12:15:41,2004,9
5850,-124.866,41.95,41.95,42.264,-124.866,-126.068,2004CA-Bmu-04175,15:12:58,2004,9
5851,-124.553,42.014,42.014,33.485,-124.553,-167.017,2004CA-Bmu-04175,23:35:42,2004,9
5852,-124.559,42.042,42.042,39.185,-124.559,-138.777,2004CA-Bmu-04175,02:38:34,2004,9
5853,-124.42700000000002,42.04,42.04,34.309,-124.427,-161.145,2004CA-Bmu-04175,23:30:23,2004,9
5854,-124.929,42.11,42.11,35.692,-124.929,-156.465,2004CA-Bmu-04175,23:13:58,2004,9
5855,-124.38299999999998,42.167,42.167,45.492,-124.383,-141.508,2004CA-Bmu-04175,15:43:57,2004,9
5856,-124.51999999999998,42.083,42.083,45.43,-124.52,-107.094,2004CA-Bmu-04175,23:55:46,2004,9
5857,-124.549,42.102,42.102,47.7,-124.549,-95.396,2004CA-Bmu-04175,23:31:34,2004,9
5858,-124.59300000000002,41.981,41.981,38.78,-124.593,-141.602,2004CA-Bmu-04175,02:43:12,2004,9
