location-long,location-lat
-123.14,37.667
-122.513,37.741
-123.055,37.716
-123.10500000000002,37.725
-123.265,37.712
-123.22,37.522
-123.03199999999998,37.607
-123.18200000000002,37.659
-122.89,37.546
-122.928,37.625
-122.90699999999998,37.781
-123.12900000000002,37.588
-122.951,37.591
-123.08100000000002,37.509
-123.017,37.495
-123.07999999999998,37.577
-122.96800000000002,37.511
-123.381,37.576
-122.904,37.427
-123.132,37.471
-120.10160827636719,35.15129852294922
-120.08828735351562,35.14776611328125
-120.08824920654297,35.14775466918945
-120.08824920654297,35.14775085449219
-120.08824920654297,35.14775085449219
-120.08824920654297,35.14775466918945
-120.08824920654297,35.14775085449219
-120.0882568359375,35.14775466918945
-120.08824920654297,35.14775085449219
-120.0882568359375,35.14775466918945
